Anomognathus cuspidatus
Anomoloma albolutescens
Anomoloma myceliosum
Anopheles (Anopheles) saeungae
Anopheles (Anopheles) wejchoochotei
Anopheles aconitus
Anopheles albimanus
Anopheles annularis
Anopheles arabiensis
Anopheles argyropus
Anopheles B orthobunyavirus
Anopheles barbirostris
Anopheles campestris
Anopheles coluzzii
Anopheles coustani
Anopheles crawfordi
Anopheles dirus
Anopheles flavicosta
Anopheles freeborni
Anopheles funestus
Anopheles gambiae
Anopheles hyrcanus
Anopheles jeyporiensis
Anopheles karwari
Anopheles kochi
Anopheles maculatus
Anopheles maculipalpis
Anopheles mascarensis
Anopheles minimus
Anopheles nigerrimus
Anopheles nitidus
Anopheles pampanai
Anopheles peditaeniatus
Anopheles philippinensis
Anopheles pretoriensis
Anopheles pseudopunctipennis
Anopheles punctipennis
Anopheles quadrimaculatus
Anopheles rampae
Anopheles rufipes
Anopheles sawadwongporni
Anopheles sinensis
Anopheles splendidus
Anopheles squamosus
Anopheles stephensi
Anopheles tessellatus
Anopheles vagus
Anopheles varuna
Anopheles walkeri
Anoplius illinoensis
Anoplocephaloides wimerosa
Anoplodera sexguttata
Anoplodinium denticulatum
Anoplonyx destructor
Anoplotrupes stercorosus
Anoplus plantaris
Anoplus roboris
Anorrhinus tickelli
Anorthoa munda
Anoscopus serratulae
Anosia plexippus
Anotylus hamatus
Anotylus insecatus
Anotylus inustus
Anotylus sculpturatus
Anotylus tetracarinatus
Anoura peruana
Anredera cordifolia
Anselmella malacia
Anser anser
Anteaglonium parvulum
Antennaria corymbosa
Antennaria neglecta
Antenoron filiforme
Anteos maerula
Antepipona deflenda
Anthaxia nitidula
Anthemis arvensis
Anthemus affinis
Anthemus leucaspidis
Anthene emolus
Antheraea paphia
Antheraea pernyi
Antheraea polyphemus
Anthias anthias
Anthicus antherinus
Anthidiellum notatum
Anthidium manicatum
Anthocharis cardamines
Anthocharis sara
Anthocoris amplicollis
Anthocoris nemoralis
Anthocoris simulans
Anthomyia illocata
Anthomyza gracilis
Anthonomus grandis
Anthonomus musculus
Anthonomus rubi
Anthophila fabriciana
Anthophora bimaculata
Anthophora californica
Anthophora furcata
Anthophora plumipes
Anthophora terminalis
Anthophora urbana
Anthophora walteri
Anthoporia albobrunnea
Anthornis melanura
Anthoscopus caroli
Anthostoma decipiens
Anthostoma gastrinum
Anthostoma melanotes
Anthostoma turgidum
Anthostomella clypeata
Anthostomella poetschii
Anthostomella spartii
Anthoxanthum odoratum
Anthracoceros albirostris
Anthrenus verbasci
Anthriscus aemula
Anthriscus sylvestris
Anthurium andraeanum
Anthyllis vulneraria
Anticarsia gemmatalis
Antidaphne viscoidea
Antidesma madagascariense
Antigonon leptopus
Antigonus emorsa
Antirhea borbonica
Antirrhinum majus
Antophila sp./Solitary bee
Antrodia albida
Antrodia carbonica
Antrodia crassa
Antrodia heteromorpha
Antrodia malicola
Antrodia serialis
Antrodia sinuosa
Antrodia vaillantii
Antrodia xantha
Aonchotheca bovis
Aonchotheca caudinflata
Aonidiella aurantii
Aonidiella orientalis
Aotus trivirgatus
Apalis rufogularis
Apallates coxendix
Apamea castanea
Apatelodes torrefacta
Apatemon gracilis
Apatura ilia
Apatura iris
Apechthis zapoteca
Apeira syringaria
Aphaenogaster senilis
Aphanobasidium filicinum
Aphanobasidium pseudotsugae
Aphanobasidium subnitens
Aphanostephus ramosissimus
Aphanostigme trichophilus
Aphantopus hyperantus
Aphelenchoides fragariae
Aphelia ochreana
Aphelia paleana
Aphelia unitana
Aphelinus basilicus
Aphelinus chaonia
Aphelinus gossypii
Aphelinus mali
Aphelinus meridionalis
Aphelinus subflavescens
Aphelocoma californica
Aphidecta obliterata
Aphidius aquilus
Aphidius transcaspicus
Aphidoletes thompsoni
Aphis (Aphis) annuae
Aphis (Aphis) fabae
Aphis craccivora
Aphis fabae
Aphis gossypii
Aphis hederae
Aphis idaei
Aphis illinoisensis
Aphis nerii
Aphis spiraecola
Aphloia theiformis
Aphodius fimetarius
Aphrissa statira
Aphrodes bicincta
Aphrodes makarovi
Aphrodita aculeata
Aphrophora salicina
Aphthona nigriceps
Aphycus apicalis
Aphytis abnormis
Aphytis aonidiae
Aphytis chilensis
Aphytis chrysomphali
Aphytis comperei
Aphytis diaspidis
Aphytis fioriniae
Aphytis japonicus
Aphytis luteus
Aphytis maculicornis
Aphytis melinus
Aphytis merceti
Aphytis mytilaspidis
Aphytis proclia
Aphytis theae
Aphytis vandenboschi
Aphytis yasumatsui
Apicystis bombi
Apiloscatopse flavicollis
Apiloscatopse picea
Apiloscatopse scutellata
Apiognomonia acerina
Apiognomonia errabunda
Apiognomonia erythrostoma
Apiognomonia hystrix
Apiognomonia petiolicola
Apiomerus californicus
Apiomerus spissipes
Apion cruentatum
Apion frumentarium
Apion pisi
Apion semivittatum
Apion violaceum
Apioperdon pyriforme
Apioporthe vepris
Apios americana
Apios priceana
Apiospora carpinea
Apiosporina morbosa
