speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5054445,"Potamophylax rotundipennis (Brauer, 1857)",SPECIES,ACCEPTED,Animalia,"5054445: Potamophylax rotundipennis (Brauer, 1857)"
5054450,"Potamophylax latipennis (Curtis, 1834)",SPECIES,ACCEPTED,Animalia,"5054450: Potamophylax latipennis (Curtis, 1834)"
5054529,"Lepidostoma hirtum (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"5054529: Lepidostoma hirtum (Fabricius, 1775)"
5054612,"Brachycentrus subnubilus Curtis, 1834",SPECIES,ACCEPTED,Animalia,"5054612: Brachycentrus subnubilus Curtis, 1834"
5054614,"Brachycentrus maculatum (Fourcroy, 1785)",SPECIES,ACCEPTED,Animalia,"5054614: Brachycentrus maculatum (Fourcroy, 1785) | 5054615: Oligoplectrum maculatum (Fourcroy, 1785)"
5054666,"Tetanocera elata (Fabricius, 1781)",SPECIES,ACCEPTED,Animalia,"5054666: Tetanocera elata (Fabricius, 1781)"
5054700,"Tetanocera arrogans Meigen, 1830",SPECIES,ACCEPTED,Animalia,"5054700: Tetanocera arrogans Meigen, 1830"
5054720,"Tetanocera hyalipennis Roser, 1840",SPECIES,ACCEPTED,Animalia,"5054720: Tetanocera hyalipennis Roser, 1840"
5054729,"Tetanocera silvatica Meigen, 1830",SPECIES,ACCEPTED,Animalia,"5054729: Tetanocera silvatica Meigen, 1830"
5055244,"Paratendipes albimanus (Meigen, 1804)",SPECIES,ACCEPTED,Animalia,"5055244: Paratendipes albimanus (Meigen, 1804)"
5055305,"Paratrichocladius rufiventris (Meigen, 1830)",SPECIES,ACCEPTED,Animalia,"5055305: Paratrichocladius rufiventris (Meigen, 1830)"
5055344,"Microtendipes lugubris Kieffer, 1921",SPECIES,ACCEPTED,Animalia,"5055344: Microtendipes lugubris Kieffer, 1921"
5055381,"Tanypus kraatzi (Kieffer, 1912)",SPECIES,ACCEPTED,Animalia,"5055381: Tanypus kraatzi (Kieffer, 1912)"
5055406,"Tanypus punctipennis Meigen, 1818",SPECIES,ACCEPTED,Animalia,"5055406: Tanypus punctipennis Meigen, 1818"
5055838,"Smittia littorella (Goetghebuer, 1927)",SPECIES,ACCEPTED,Animalia,"5055838: Smittia littorella (Goetghebuer, 1927)"
