occurrenceId;verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family;genus;species;canonicalName;authorship
;Coenonympha pamphilus;Coenonympha pamphilus (Linnaeus, 1758);1911461;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Coenonympha;Coenonympha pamphilus;Coenonympha pamphilus;(Linnaeus, 1758) 
;Vanessa atalanta;Vanessa atalanta (Linnaeus, 1758);1898286;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Nymphalidae;Vanessa;Vanessa atalanta;Vanessa atalanta;(Linnaeus, 1758) 
;Nomophila noctuella;Nomophila noctuella (Denis & Schiffermüller);1881151;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Nomophila;Nomophila noctuella;Nomophila noctuella;(Denis & Schiffermüller) 
;Orgyia antiqua;Orgyia antiqua (Linnaeus, 1758);1819873;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Erebidae;Orgyia;Orgyia antiqua;Orgyia antiqua;(Linnaeus, 1758) 
;Autographa gamma;Autographa gamma (Linnaeus, 1758);1792418;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Autographa;Autographa gamma;Autographa gamma;(Linnaeus, 1758) 
;Noctua pronuba;Noctua pronuba Linnaeus, 1758;1789695;EXACT;97;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Noctua;Noctua pronuba;Noctua pronuba;Linnaeus, 1758
;Agrotis exclamationis;Agrotis exclamationis (Linnaeus, 1758);1771214;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Agrotis;Agrotis exclamationis;Agrotis exclamationis;(Linnaeus, 1758) 
;Lacanobia oleracea;Lacanobia oleracea Linnaeus, 1758;1759083;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Lacanobia;Lacanobia oleracea;Lacanobia oleracea;Linnaeus, 1758
;Pholidoptera griseoaptera;Pholidoptera griseoaptera (De Geer, 1773);1695297;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Pholidoptera;Pholidoptera griseoaptera;Pholidoptera griseoaptera;(De Geer, 1773) 
;Meconema meridionale;Meconema meridionale Costa, 1860;1690429;EXACT;99;ACCEPTED;SPECIES;Animalia;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Meconema;Meconema meridionale;Meconema meridionale;Costa, 1860
