"","occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship"
"56",NA,"Eristalinus aeneus","Eristalinus aeneus (Scopoli, 1763)",1542830,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Eristalinus","Eristalinus aeneus","Eristalinus aeneus","(Scopoli, 1763) "
"57",NA,"Argynnis paphia","Argynnis paphia (Linnaeus, 1758)",1909398,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Argynnis","Argynnis paphia","Argynnis paphia","(Linnaeus, 1758) "
"58",NA,"Felis silvestris","Felis silvestris Schreber, 1777",7964291,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis silvestris","Felis silvestris","Schreber, 1777"
"59",NA,"Pyrrhula pyrrhula","Pyrrhula pyrrhula (Linnaeus, 1758)",2494543,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Pyrrhula","Pyrrhula pyrrhula","Pyrrhula pyrrhula","(Linnaeus, 1758) "
"60",NA,"Thecla betulae","Thecla betulae (Linnaeus, 1758)",1930110,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Thecla","Thecla betulae","Thecla betulae","(Linnaeus, 1758) "
"61",NA,"Mustela putorius","Mustela putorius Linnaeus, 1758",5218911,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela putorius","Mustela putorius","Linnaeus, 1758"
"62",NA,"Passer montanus","Passer montanus (Linnaeus, 1758)",5231198,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer montanus","Passer montanus","(Linnaeus, 1758) "
"63",NA,"Phoenicurus phoenicurus","Phoenicurus phoenicurus (Linnaeus, 1758)",5739317,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Phoenicurus","Phoenicurus phoenicurus","Phoenicurus phoenicurus","(Linnaeus, 1758) "
"64",NA,"Meles meles","Meles meles (Linnaeus, 1758)",2433875,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Meles","Meles meles","Meles meles","(Linnaeus, 1758) "
"65",NA,"Orobanche hederae","Orobanche hederae Duby",3733128,"EXACT",99,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orobanche","Orobanche hederae","Orobanche hederae","Duby"
"66",NA,"Dolomedes fimbriatus","Dolomedes fimbriatus (Clerck, 1757)",2150955,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Pisauridae","Dolomedes","Dolomedes fimbriatus","Dolomedes fimbriatus","(Clerck, 1757) "
"67",NA,"Passer domesticus","Passer domesticus (Linnaeus, 1758)",5231190,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus","Passer domesticus","(Linnaeus, 1758) "
"68",NA,"Nymphalis polychloros","Nymphalis polychloros (Linnaeus, 1758)",7762841,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis polychloros","Nymphalis polychloros","(Linnaeus, 1758) "
"69",NA,"Mustela erminea","Mustela erminea Linnaeus, 1758",5219019,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea","Mustela erminea","Linnaeus, 1758"
"70",NA,"Coronella austriaca","Coronella austriaca Laurenti, 1768",5959617,"EXACT",97,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata","","Colubridae","Coronella","Coronella austriaca","Coronella austriaca","Laurenti, 1768"
"71",NA,"Lanius excubitor","Lanius excubitor Linnaeus, 1758",9444556,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius","Lanius excubitor","Lanius excubitor","Linnaeus, 1758"
"72",NA,"Nymphalis antiopa","Nymphalis antiopa (Linnaeus, 1758)",5130682,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Nymphalis","Nymphalis antiopa","Nymphalis antiopa","(Linnaeus, 1758) "
"73",NA,"Oriolus oriolus","Oriolus oriolus (Linnaeus, 1758)",2488949,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Oriolidae","Oriolus","Oriolus oriolus","Oriolus oriolus","(Linnaeus, 1758) "
"74",NA,"Myotis emarginatus","Myotis emarginatus (E.Geoffroy, 1806)",2432470,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis emarginatus","Myotis emarginatus","(E.Geoffroy, 1806) "
"75",NA,"Euryopis flavomaculata","Euryopis flavomaculata (C.L.Koch, 1836)",2155761,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Euryopis","Euryopis flavomaculata","Euryopis flavomaculata","(C.L.Koch, 1836) "
"76",NA,"Tibellus maritimus","Tibellus maritimus (Menge, 1875)",2147916,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Arthropoda","Arachnida","Araneae","Philodromidae","Tibellus","Tibellus maritimus","Tibellus maritimus","(Menge, 1875) "
