Chalciporus rubinus
Chroogomphus rutilus
Amanita gemmata
Clathrus ruber
Collybia distorta
Amanita inaurata
Collybia fuscopurpurea
Collybia racemosa
Collybia tuberosa
Craterellus cornucopioides
Creolophus cirrhatus
Crinipellis scabellus
Cyathus stercoreus
Disciotis venosa
Faerberia carbonarium
Ephippiger ephippiger
Barbitistes serricauda
Stenobothrus lineatus
Stenobothrus stigmaticus
Tetrix tenuicornis
Anasimyia contracta
Brachymyia floccosa
Brachyopa bicolor
Lejogaster tarsata
Melangyna guttata
Brachyopa scutellaris
Microdon eggeri
Brachypalpus laphriformis
Microdon mutabilis
Myolepta vara
Neocnemodon latitarsis
Neocnemodon pubescens
Orthonevra brevicornis
Orthonevra elegans
Orthonevra nobilis
Paragus tibialis
Parhelophilus frutetorum
Parhelophilus versicolor
Pipiza festiva
Pipiza quadrimaculata
Pipizella virens
Platycheirus ambiguus
Platycheirus perpallidus
Sphaerophoria fatarum
Sphaerophoria interrupta
Sphaerophoria philanthus
Sphaerophoria virgata
Cheilosia bergenstammi
Xanthogramma festivum
Cheilosia honesta
Cheilosia longula
Cheilosia mutabilis
Cheilosia nigripes
Cheilosia praecox
Anasimyia transfuga
Cheilosia semifasciata
Chrysogaster cemiteriorum
Chrysogaster virescens
Chrysotoxum festivum
Criorhina asilica
Arctophila superbiens
Criorhina pachymera
Criorhina ranunculi
Didea alneti
Didea intermedia
Doros profuges
Eristalinus aeneus
Meles meles
Muscardinus avellanarius
Myotis bechsteinii
Myotis brandtii
Myotis dasycneme
Myotis emarginatus
Myotis myotis
Neomys fodiens
Nyctalus leisleri
Phoca vitulina
Phocoena phocoena
Plecotus austriacus
Cricetus cricetus
Vallonia pulchella
Vertigo angustior
Vertigo antivertigo
Zonitoides excavatus
Arion rufus
Balea biplicata biplicata
Balea perversa
Acanthinula aculeata
Candidula gigaxii
Candidula intersecta
Candidula unifasciata unifasciata
Cernuella cisalpina
Clausilia rugosa parvula
Cochlicella barbara
Aegopinella pura
Euconulus fulvus
Euconulus praticola
Euconulus trochiformis
Helicella itala itala
Helicodonta obvoluta obvoluta
Limax cinereoniger
Macrogastra rolphii
Monacha cantiana
Monacha cartusiana
Monachoides incarnatus incarnatus
Oxychilus alliarius
Oxyloma elegans elegans
Oxyloma sarsii
Quickella arenaria
Succinella oblonga
Vipera berus
Acartauchenius scurrilis
Cheiracanthium virescens
Clubiona caerulescens
Clubiona frisia
Clubiona genevensis
Clubiona juvenis
Clubiona trivialis
Coelotes terrestris
Agroeca cuprea
Crustulina guttata
Crustulina sticta
Cryphoeca silvicola
Agroeca dentigera
Dictyna latens
Dictyna pusilla
Dipoena inornata
Dipoena melanogaster
Dipoena prona
Dipoena tristis
Dolomedes fimbriatus
Agroeca lusatica
Dolomedes plantarius
Donacochara speciosa
Drassodes pubescens
Drepanotylus uncatus
Dysdera erythrina
Enoplognatha mordax
Enoplognatha oelandica
Agyneta cauta
Entelecara omissa
Episinus truncatus
Erigone promiscua
Erigonella ignobilis
Ero tuberculata
Euophrys aequipes
Euophrys petrensis
Euryopis flavomaculata
Evarcha laetabunda
Glyphesis cottonae
Glyphesis servulus
Gnaphosa leporina
Gnaphosa lucifuga
Gnaphosa nigerrima
Gongylidiellum murcidum
Hahnia helveola
Hahnia nava
Allomengea scopigera
Halorates distinctus
Haloratus reprobus
Haplodrassus dalmatensis
Haplodrassus silvestris
Haplodrassus umbratilis
Harpactea hombergi
Heliophanus auratus
Allomengea vidua
Hygrolycosa rubrofasciata
Alopecosa barbipes
Hypomma fulvum
Hypselistes jacksoni
Hypsosinga albovittata
Hypsosinga heri
Hypsosinga pygmaea
Hypsosinga sanguinea
Alopecosa cuneata
Kaestneria dorsalis
Alopecosa fabrilis
Leptorhoptrum robustum
Leptothrix hardyi
Linyphia tenuipalpis
Maro sublestus
Marpissa nivoyi
Marpissa pomatia
Marpissa radiata
Maso gallicus
Achaearanea riparia
Alopecosa trabalis
Mastigusa arietina
Meioneta affinis
Metopobactrus prominulus
Micaria dives
Micaria fulgens
Microlinyphia impigra
Micrommata virescens
Misumena vatia
Neon valentulus
Neriene emphana
Neriene furtiva
Neriene hammeni
Neriene radiata
Notioscopus sarcinatus
Oedothorax gibbosus
Oxyopes ramosus
Ozyptila atomaria
Ozyptila brevipes
Ozyptila nigrita
Ozyptila sanctuaria
Ozyptila scabricula
Pachygnatha listeri
Parapelecopsis nemoralis
Pardosa agrestis
Pardosa agricola
Pardosa lugubris
Pardosa monticola
Pardosa prativaga
Pardosa purbeckensis
Pardosa saltans
Pardosa sphagnicola
Pellenes tripunctatus
Phaeocedus braccatus
Philodromus albidus
Aphileta misera
Philodromus fallax
Philodromus histrio
Philodromus margaritatus
Philodromus praedatus
Phlegra fasciata
Pholcomma gibbum
Apostenus fuscus
Phrurolithus minimus
Pirata piscatorius
Pirata tenuitarsis
Pirata uliginosus
Araeoncus crassiceps
Pistius truncatus
Robertus arundineti
Araneus alsine
Robertus neglectus
Saloca diceros
Satilatlas britteni
Araneus angulatus
Savignia frontata
Scotina gracilipes
Silometopus ambiguus
Silometopus bonessi
Silometopus elegans
Silometopus incurvatus
Silometopus reussi
Singa hamata
Sitticus caricis
Sitticus distinguendus
Sitticus floricola
Sitticus saltator
Steatoda albomaculata
Steatoda phalerata
Taranucnus setosus
Tegenaria silvestris
Tetragnatha reimoseri
Tetragnatha striata
Thanatus striatus
Theonoe minutissima
Theridion instabile
Arctosa cinerea
Theridion uhlighi
Theridiosoma gemmosum
Thyreostenius biovatus
Tibellus maritimus
Tibellus oblongus
Titanoeca quadriguttata
Tmeticus affinis
Trematocephalus cristatus
Trichoncus hackmanni
Trichopterna cito
Arctosa leopardus
Trichopterna thorelli
Trochosa robusta
Trochosa spinipalpis
Arctosa perita
Walckenaeria alticeps
Walckenaeria corniculans
Argenna patula
Walckenaeria mitrata
Walckenaeria nodosa
Walckenaeria stylifrons
Xerolycosa miniata
Argenna subnigra
Xerolycosa nemoralis
Xysticus acerbus
Xysticus bifasciatus
Xysticus erraticus
Xysticus luctuosus
Xysticus ninnii
Xysticus sabulosus
Zelotes electus
Zelotes longipes
Argyroneta aquatica
Zelotes lutetianus
Zelotes pedestris
Zelotes petrensis
Zelotes praeficus
Zora nemoralis
Zora silvestris
Atypus affinis
Baryphyma duffeyi
Baryphyma maritimum
Baryphyma pratense
Aelurillus v-insignitus
Baryphyma trifrons
Bathyphantes setiger
Bianor aurocinctus
Carorita paludosa
Agalenatea redii
Centromerus levitarsus
Centromerus semiater
Ceratinopsis romana
Acilius canaliculatus
Agabus didymus
Hygrotus decoratus
Ilybius aenescens
Ilybius guttiger
Ilybius quadriguttatus
Ilybius subaeneus
Laccornis oblongus
Nartus grapii
Peltodytes caesus
Platambus maculatus
Rhantus exsoletus
Scarodytes halensis
Stictotarsus duodecimpustulatus
Agabus melanocornis
Bidessus grossepunctatus
Cybister lateralimarginalis
Deronectes latus
Dytiscus circumcinctus
Dytiscus dimidiatus
Dytiscus lapponicus
Graphoderus bilineatus
Graphoderus zonatus
Graptodytes granularis
Gyrinus aeratus
Gyrinus caspius
Gyrinus minutus
Gyrinus paykulli
Gyrinus suffriani
Haliplus fulvicollis
Haliplus fulvus
Haliplus furcatus
Haliplus lineolatus
Haliplus mucronatus
Haliplus obliquus
Haliplus variegatus
Haliplus varius
Hydaticus seminiger
Hydaticus transversalis
Hydroporus elongatulus
Hydroporus longulus
Hydroporus melanarius
Hydroporus neglectus
Hydroporus obscurus
Hydroporus rufifrons
Hydroporus striola
Hydroporus umbrosus
Hydrovatus cuspidatus
Agabus didymus
Rhantus suturellus
Stictotarsus duodecimpustulatus
Yola bicarinata
Agabus guttatus
Agabus labiatus
Agabus melanarius
Agabus nebulosus
Agabus paludosus
Agabus striolatus
Acilius sulcatus
Agabus undulatus
Agabus unguicularis
Coelambus nigrolineatus
Coelambus parallelogrammus
Dytiscus circumflexus
Dytiscus dimidiatus
Dytiscus lapponicus
Graphoderus cinereus
Graptodytes bilineatus
Graptodytes granularis
Graptodytes pictus
Hydaticus seminiger
Hydroporus discretus
Hydroporus ferrugineus
Hydroporus rufifrons
Agabus chalconatus
Hydrovatus cuspidatus
Hygrotus versicolor
Agabus congener
Ilybius aenescens
Ilybius fenestratus
Ilybius subaeneus
Laccophilus hyalinus
Laccophilus minutus
Agabus conspersus
Nartus grapii
Nebrioporus canaliculatus
Nebrioporus depressus
Platambus maculatus
Porhydrus lineatus
Rhantus exsoletus
Rhantus frontalis
Aphelocheirus aestivalis
Cymatia bonsdorffi
Cymatia coleoptrata
Gerris gibbifer
Gerris lateralis
Hebrus pusillus
Aquarius najas
Hesperocorixa castanea
Hydrometra gracilenta
Mesovelia furcata
Microvelia pygmaea
Microvelia buenoi
Notonecta obliqua
Sigara fossarum
Corixa panzeri
Aphelocheirus aestivalis
Cymatia bonsdorffii
Gerris gibbifer
Hebrus pusillus
Gerris najas
Hebrus ruficeps
Hesperocorixa castanea
Hesperocorixa moesta
Hydrometra gracilenta
Mesovelia furcata
Microvelia pygmaea
Microvelia umbricola
Notonecta obliqua
Sigara fossarum
Sigara scotti
Sigara selecta
Sigara stagnalis
Velia caprai
Corixa dentipes
Corixa panzeri
Alytes obstetricans
Rana arvalis
Salamandra salamandra
Triturus cristatus
Bufo calamita
Hyla arborea
Pelobates fuscus
Ixobrychus minutus
Jynx torquilla
Lanius collurio
Lanius excubitor
Alauda arvensis
Larus fuscus
Locustella luscinioides
Lullula arborea
Luscinia megarhynchos
Oenanthe oenanthe
Oriolus oriolus
Parus montanus
Perdix perdix
Phoenicurus phoenicurus
Porzana porzana
Pyrrhula pyrrhula
Recurvirostra avosetta
Saxicola rubetra
Sterna albifrons
Sterna hirundo
Sterna sandvicensis
Streptopelia turtur
Anas querquedula
Tringa totanus
Turdus pilaris
Anthus pratensis
Anthus trivialis
Acrocephalus arundinaceus
Botaurus stellaris
Caprimulgus europaeus
Acrocephalus schoenobaenus
Charadrius alexandrinus
Circus pygargus
Crex crex
Delichon urbica
Miliaria calandra
Emberiza citrinella
Emberiza schoeniclus
Galerida cristata
Gallinago gallinago
Aegithalos caudatus
Galerida cristata
Gallinago gallinago
Himantopus himantopus
Hirundo rustica
Ixobrychus minutus
Jynx torquilla
Lanius collurio
Larus canus
Larus melanocephalus
Larus ridibundus
Limosa limosa
Locustella luscinioides
Loxia curvirostra
Alauda arvensis
Luscinia megarhynchos
Alcedo atthis
Numenius arquata
Oenanthe oenanthe
Oriolus oriolus
Panurus biarmicus
Parus montanus
Passer domesticus
Passer montanus
Perdix perdix
Philomachus pugnax
Phylloscopus sibilatrix
Phylloscopus trochilus
Platalea leucorodia
Podiceps nigricollis
Porzana porzana
Recurvirostra avosetta
Regulus regulus
Remiz pendulinus
Saxicola rubetra
Serinus serinus
Sterna albifrons
Sterna hirundo
Sterna sandvicensis
Streptopelia turtur
Tringa totanus
Turdus pilaris
Vanellus vanellus
Anas querquedula
Anthus pratensis
Botaurus stellaris
Carduelis cannabina
Acrocephalus arundinaceus
Carduelis flammea
Certhia familiaris
Charadrius alexandrinus
Charadrius dubius
Charadrius hiaticula
Ciconia ciconia
Circus aeruginosus
Circus pygargus
Cisticola juncidis
Crex crex
Egretta garzetta
Emberiza calandra
Falco peregrinus
Argynnis paphia
Aricia agestis
Boloria selene
Callophrys rubi
Carterocephalus palaemon
Coenonympha tullia
Polyommatus semiargus
Hesperia comma
Hipparchia semele
Issoria lathonia
Leptidea sinapis
Limenitis camilla
Lycaena tityrus
Apatura iris
Melitaea cinxia
Nymphalis polychloros
Maculinea alcon
Plebeius argus
Pyrgus malvae
Satyrium ilicis
Thecla betulae
Callophrys rubi
Cyaniris semiargus
Erynnis tages
Hesperia comma
Hipparchia semele
Lasiommata megera
Apatura iris
Lycaena tityrus
Melitaea cinxia
Nymphalis antiopa
Nymphalis polychloros
Phengaris alcon
Plebejus argus
Pyrgus malvae
Satyrium ilicis
Satyrium w-album
Thymelicus lineola
Thymelicus sylvestris
Bembidion ephippium
Bembidion genei
Bembidion litorale
Bembidion maritimum
Bembidion milleri
Bembidion monticola
Bembidion nigricorne
Bembidion quinquestriatum
Bembidion semipunctatum
Bembidion stephensi
Bembidion testaceum
Bembidion tibiale
Blethisa multipunctata
Brachinus crepitans
Bradycellus caucasicus
Bradycellus csikii
Broscus cephalotes
Calathus ambiguus
Calosoma inquisitor
Calosoma sycophanta
Carabus arvensis
Carabus auratus
Carabus cancellatus
Agonum ericeti
Carabus coriaceus
Carabus monilis
Carabus nitens
Chlaenius nitidulus
Cicindela germanica
Abax carinatus
Cicindela maritima
Cicindela sylvatica
Cymindis vaporariorum
Agonum gracilipes
Dromius agilis
Dromius bifasciatus
Dromius longiceps
Dromius meridionalis
Dromius notatus
Dyschirius intermedius
Elaphrus uliginosus
Harpalus autumnalis
Harpalus azureus
Harpalus calceatus
Harpalus flavescens
Harpalus froelichi
Harpalus honestus
Harpalus modestus
Harpalus neglectus
Harpalus nitidulus
Harpalus puncticollis
Harpalus quadripunctatus
Harpalus rupicola
Harpalus serripes
Harpalus signaticornis
Harpalus smaragdinus
Harpalus solitaris
Harpalus vernalis
Lebia cruxminor
Leistus piceus
Leistus spinibarbis
Agonum piceum
Notiophilus aestuans
Perileptus areolatus
Pogonus littoralis
Pogonus luridipennis
Pristonychus terricola
Pterostichus aterrimus
Pterostichus kugelanni
Pterostichus lepidus
Pterostichus longicollis
Pterostichus macer
Stenolophus skrimshiranus
Tachys bistriatus
Tachys bisulcatus
Tachys scutellaris
Trechus rubens
Trichotichnus nitens
Zabrus tenebrioides
Amara brunnea
Amara consularis
Amara famelica
Amara infima
Amara kulti
Amara lucida
Amara montivaga
Amara nitida
Amara praetermissa
Amara quenseli
Amara tricuspidata
Anisodactylus nemorivagus
Anisodactylus poeciloides
Anisodactylus signatus
Acupalpus exiguus
Asaphidion pallipes
Bembidion argenteolum
Bembidion bruxellense
Brachytron pratense
Calopteryx virgo
Coenagrion hastulatum
Coenagrion lunulatum
Coenagrion pulchellum
Cordulegaster boltonii
Gomphus vulgatissimus
Lestes dryas
Aeshna isoceles
Leucorrhinia pectoralis
Leucorrhinia rubicunda
Libellula fulva
Aeshna juncea
Orthetrum coerulescens
Somatochlora arctica
Somatochlora flavomaculata
Sympetrum depressiusculum
Chondrostoma nasus
Cottus gobio
Lampetra fluviatilis
Lampetra planeri
Leuciscus idus
Leuciscus leuciscus
Liza ramada
Lota lota
Misgurnus fossilis
Alburnoides bipunctatus
Petromyzon marinus
Phoxinus phoxinus
Salmo salar
Salmo trutta
Thymallus thymallus
Alosa fallax
Anguilla anguilla
Barbus barbus
Gomphocerripus rufus
Gryllotalpa gryllotalpa
Oedipoda caerulescens
Omocestus viridulus
Platycleis albopunctata
Chorthippus montanus
Metrioptera roeselii
Stenobothrus lineatus
Stenobothrus stigmaticus
Stethophyma grossum
Tetrix ceperoi
Tetrix tenuicornis
Chorthippus mollis
Ephippiger diurnus
Gomphocerripus rufus
Gryllus campestris
Pseudochorthippus montanus
Stenobothrus stigmaticus
Tetrix tenuicornis
Anthoceros caucasicus Steph.
Anthoceros punctatus L.
Phaeoceros carolinianus (Michx.) Prosk.
Adalia bipunctata
Chilocorus bipustulatus
Coccinella hieroglyphica
Coccinella magnifica
Cynegetis impunctata
Exochomus nigromaculatus
Hippodamia tredecimpunctata
Myzia oblongoguttata
Platynaspis luteorubra
Aneura maxima (Schiffn.) Steph.
Riccia huebeneriana Lindenb.
Riccia subbifurca Warnst. ex Croz.
Riccia warnstorfii Limpr. ex Warnst.
Ricciocarpos natans (L.) Corda
Scapania curta (Mart.) Dumort.
Scapania irrigua (Nees) Nees
Scapania nemorea (L.) Grolle
Scapania undulata (L.) Dumort.
Calypogeia azurea Stotler & Crotz
Sphaerocarpos michelii Bellardi
Trichocolea tomentella (Ehrh.) Dumort.
Calypogeia fissa (L.) Raddi
Calypogeia integristipula Steph.
Calypogeia sphagnicola (Arnell. & J.Perss.) Warnst. & Loeske
Cephalozia bicuspidata (L.) Dumort.
Cephalozia connivens (Dicks.) Lindb.
Cephalozia lunulifolia (Dumort.) Dumort.
Cephalozia macrostachya Kaal.
Cephalozia pleniceps (Austin) Lindb.
Cephaloziella divaricata (Sm.) Schiffn.
Cephaloziella elachista (J.B.Jack ex Gottsche & Rabenh.) Schiffn.
Cephaloziella hampeana (Nees) Schiffn.
Cephaloziella stellulifera (Taylor ex Spruce) Schiffn.
Chiloscyphus polyanthos (L.) Corda s.l.
Cladopodiella fluitans (Nees) H.Buch.
Cladopodiella francisci (Hook.) J?<c2>rg.
Barbilophozia attenuata (Mart.) Loeske
Conocephalum conicum (L.) Dumort. s.l. (inclusief Conocephalum salebrosum Szweykowski, Buczkowska & Odrzykoski)
Diplophyllum albicans (L.) Dumort.
Diplophyllum obtusifolium (Hook.) Dumort.
Fossombronia caespitiformis De Not. ex Rabenh.
Fossombronia incurva Lindb.
Fossombronia pusilla (L.) Nees
Fossombronia wondraczekii (Corda) Lindb.
Frullania tamarisci (L.) Dumort.
Barbilophozia barbata (Schmidel ex Schreb.) Loeske
Gymnocolea inflata (Huds.) Dumort.
Jungermannia caespiticia Lindenb.
Jungermannia gracillima Sm.
Jungermannia hyalina Lyell
Kurzia pauciflora (Dicks.) Grolle
Kurzia sylvatica (A.Evans) Grolle
Leiocolea collaris (Nees) Schljakov
Barbilophozia hatcheri (A.Evans) Loeske
Lophocolea bidentata (L.) Dumort.
Lophozia bicrenata (Schmidel ex Hoffm.) Dumort.
Lophozia excisa (Dicks.) Dumort.
Lophozia perssonii H.Buch & S.W.Arnell
Lophozia ventricosa (Dicks.) Dumort.
Metzgeria temperata Kuwah.
Microlejeunea ulicina (Taylor) A.Evans
Mylia anomala (Hook.) Gray
Bazzania trilobata (L.) S.F.Gray
Nardia geoscyphus (De Not.) Lindb.
Nardia scalaris Gray
Nowellia curvifolia (Dicks.) Mitt.
Odontoschisma denudatum (Mart.) Dumort.
Odontoschisma sphagni (Dicks.) Dumort.
Pallavicinia lyellii (Hook.) Carruth.
Pellia epiphylla (L.) Corda
Pellia neesiana (Gottsche) Limpr.
Plagiochila asplenioides (L. emend. Taylor) Dumort.
Plagiochila porelloides (Torrey ex Nees) Lindenb.
