Agromyza idaeiana
Agromyza soka
Agromyza vockerothi
Agrostemma githago
Agrostis clavata
Agrostis tolucensis
Agrotis exclamationis
Agrotis ipsilon
Agrotis segetum
Agrypnus murinus
Aguna asander
Agyriella nitida
Ahasverus advena
Ahtiana pallidula
Aichivirus A
Aichivirus B
Aichivirus D
Ailanthus altissima
Aino orthobunyavirus
Aithaloderma clavatisporum
Ajania pacifica
Ajuga reptans
Akabane orthobunyavirus
Akabane virus
Akanthomyces sabanensis
Akhmeta virus
Alagoas vesiculovirus
Alamella flava
Alaptus minimus
Albatrellus ovinus
Albizia julibrissin
Albuna fraxini
Alcaligenes faecalis
Alcaligenes xylosoxidans
Alcea rosea
Alcelaphine gammaherpesvirus 1
Alcelaphine gammaherpesvirus 2
Alcelaphine herpesvirus 1
Alcelaphine herpesvirus 2
Alces alces
Alchisme bos
Alchisme grossa
Alcis repandata
Alebra wahlbergi
Alectoria imshaugii
Alectoria sarmentosa
Alectoria vancouverensis
Alectoris rufa
Aleochara bipustulata
Aleochara curtula
Aletes acaulis
Aleurochiton aceris
Aleurodicus dugesii
Aleurodiscus
Aleurodiscus amorphus
Aleurodiscus aurantius
Aleurodiscus botryosus
Aleurodiscus canadensis
Aleurodiscus croceus
Aleurodiscus grantii
Aleurodiscus lividocaeruleus
Aleurodiscus oakesii
Aleurodiscus penicillatus
Aleurodiscus spiniger
Aleurodiscus tsugae
Aleurodiscus weirii
Aleuropteryx vulgaris
Alevonota gracilenta
Alfalfa mosaic virus
Alioides tuberculatus
Alisma plantago-aquatica
Alisterus scapularis
Alitta virens
Allacrotelsa spinulata
Allantophomopsiella pseudotsugae
Allecula rhenana
Alliaria petiolata
Allionia incarnata
Allisonella histaminiformans
Allium aflatunense
Allium ampeloprasum
Allium amplectens
Allium canadense
Allium cepa
Allium cernuum
Allium drummondii
Allium fistulosum
Allium giganteum
Allium karataviense
Allium roseum
Allium sativum
Allium schoenoprasum
Allium sphaerocephalon
Allium thunbergii
Allium tricoccum
Allium triquetrum
Allium tuberosum
Allium unifolium
Allium ursinum
Allium vineale
Allium sphaerocephalon
Allocasuarina littoralis
Allograpta aenea
Allograpta annulipes
Allograpta argentipila
Allograpta exotica
Allograpta macquarti
Allograpta neotropica
Allograpta obliqua
Alloispermum caracasanum
Allolobophora chlorotica
Allophyes oxyacanthae
Allophyes oxycanthae
Allophylus myrianthus
Allorhynchium chinense
Almpiwar sripuvirus
Alnecium auctum
Alnus acuminata
Alnus glutinosa
Alnus incana
Alnus rubra
Aloconota gregaria
Aloe arborescens
Aloe maculata
Aloe vera
Alonsoa meridionalis
Alopecurus pratensis
Alophoixus pallidus
Alophus triguttatus
Alosterna tabacicolor
Alouatta guariba
Aloysia gratissima
Aloysia virgata
Aloysia wrightii
Alpaida variabilis
Alphacoronavirus L232
Alphacoronavirus sp.
Alpheus glaber
Alphitobius diaperinus
Alsophila aescularia
Alsophila pometaria
Alstonia macrophylla
Alstroemeria aurea
Alstroemeria caryophyllaea
Alternanthera ficoidea
Alternaria alternata
Alternaria cerasidanica
Alternaria dauci
Alternaria geophila
Alternaria humuli
Alternaria panax
Alternaria pellucida
Alternaria porri
Alternaria tenuissima
Altha lacteola
Altha nivea
Althaea officinalis
Alydus calcaratus
Alypia octomaculata
Alysia manducator
Amalaraeus arvicolae
Amalaraeus penicilliger
Amanita aprica
Amanita muscaria
Amanita phalloides
Amanita rubescens
Amanita sinicoflava
Amanita virosa
Amara aenea
Amara aulica
Amara bifrons
Amara communis
Amara congrua
Amara consularis
Amara convexior
Amara equestris
Amara eurynota
Amara familiaris
Amara lunicollis
Amara montivaga
Amara ovata
Amara plebeja
Amara quenseli
Amara similata
Amara sinuosa
Amaranthus albus
Amaranthus cruentus
Amaranthus hybridus
Amaranthus spinosus
Amaryllis belladonna
Amasya cherry disease-associated virus satellite RNAs
Amata phegea
Amaurodon viridis
Amauropelta rudis
Amazilia tzacatl
Amazona finschi
Amblycerus robiniae
Amblyomma americanum
Amblyomma annulatus australis
Amblyomma australis
Amblyomma cajennense
Amblyomma gemma
Amblyomma hebraeum
Amblyomma imitator
Amblyomma maculatum
Amblyomma oblongoguttatum
Amblyomma parvum
Amblyomma testudinarium
Amblyomma triguttatum
Amblyomma tuberculatum
Amblyomma unipunctata
Amblyomma variegatum
Amblyscirtes fluonia
Amblyscirtes oslari
Amblyseius andersoni
Amblyteles armatorius
Amblytylus nasutus
Ambrosia artemisiifolia
Ambrosia monogyra
Ambrosia salsola
Ambrosia trifida
Amegilla acraensis
Amegilla calens
Amegilla vivida
Amelanchier alnifolia
Amelanchier arborea
Amelanchier utahensis
Ameles spallanzania
American plum line pattern virus
Amiota alboguttata
Amischa analis
Amischa decipiens
Ammannia coccinea
Ammi majus
Ammodytes tobianus
Ammophila kennedyi
Amoebotaenia cuneata
Amoebotaenia sphenoides
Amomyrtus luma
Amomyrtus meli
Amorpha californica
Amorpha fruticosa
Amorpha herbacea
Ampedus cardinalis
Ampedus cinnabarinus
Ampedus nigerrimus
Ampedus nigrinus
Ampedus nigroflavus
Ampedus quercicola
Ampedus rufipennis
Ampedus triangulum
Ampelaster carolinianus
Ampelion rubrocristatus
Ampelomyces quisqualis
Ampelopsis arborea
Ampelopsis glandulosa
Ampelopsis heterophylla
Amphicerus hamatus
Amphilophium paniculatum
Amphimallon solstitiale
Amphimerus elongatus
Amphinema byssoides
Amphiporthe
Amphiporthe leiphaemia
Amphipsalta zelandica
Amphipsylla rossica
Amphipyra pyramidea
Amphipyra pyramidoides
Amphisphaeria bufonia
Amphisphaeria fallax
Amphisphaeria millepunctata
Amphisphaeria vibratilis
Amphistomum crumenifer
Amphitetranychus viennensis
Amphora aequalis
Amphora inariensis
Amphora ovalis
Amphora pediculus
Amphorophora (Amphorophora) idaei
Amphorophora (Amphorophora) rubi
Amphorophora idaei
Amphorophora rubi
Amphorophora sensoriata
Amsacta lactinea
Amsacta lineola
Amsinckia grandiflora ex
Amsinckia menziesii
Amyelois transitella
Amylocystis lapponica
Amylocystis lapponicus
Amylostereum chailletii
Amylostereum laevigatum
Amyloxenasma rallum
Anacamptis morio
Anacardium occidentale
Anaceratagallia ribauti
Anacridium aegyptium
Anacyclus clavatus
Anacyclus radiatus
Anadevidia peponis
Anaeroplasma abactoclasticum
Anaeroplasma bactoclasticum
Anaerostipes butyraticus
Anagallis arvensis
Anaglyptus mysticus
Anaglyptus subfasciatus
Anagrapha falcifera
Anagrus atomus
Anagrus avalae
Anagrus daanei
Anagrus epos
Anagrus erythroneurae
Anagrus lindberginae
Anagrus nigriventris
Anagrus tretiakovae
Anagrus turpanicus
Anagrus ustulatus
Anagyrus agraensis
Anagyrus aligarhensis
Anagyrus amnestos
Anagyrus belibus
Anagyrus dactylopii
Anagyrus haloxyli
Anagyrus kamali
Anagyrus lopezi
Anagyrus matritensis
Anagyrus mirzai
Anagyrus pseudococci
Anagyrus qadrii
Anagyrus sawadai
Anagyrus schoenherri
Ananas comosus
Anaphalis margaritacea
Anaphes aries
Anaphes conotracheli
Anaphes diana
Anaphes dorcas
Anaphes longicornis
Anaplasma bovis
Anaplasma caudatum
Anaplasma centrale
Anaplasma marginale
Anaplasma ovis
Anaplasma phagocytophilum
Anaptus major
Anaptychia ciliaris
Anarta myrtilli
Anartia amathea
Anartia fatima
Anartia jatrophae
Anas aucklandica
Anas discors
Anas platyrhynchos
Anaspis flava
Anaspis maculata
Anaspis pulicaria
Anastatus bifasciatus
Anastatus japonicus
Anastatus lichtensteini
Anastrangalia laetifica
Anastrangalia sanguinolenta
Anastrepha suspensa
Anaulacaspis nigra
Anavirga laxa
Anax junius
Anaxyrus americanus
Anchiale briareus
Anchiale maculata
Anchomenus dorsalis
Anchusa arvensis
Anchusa officinalis
Ancistrocerus adiabatus
Ancistrocerus campestris
Ancistrocerus gazella
Ancylis apicella
Ancylis burgessiana
Ancylis mitterbacheriana
Ancyloxypha numitor
Ancyrosoma leucogrammes
Andaspis incisor
Andigena nigrirostris
Andinopanurgus rangeli
Andraca bipunctata
Andrena angustior
Andrena apicata
Andrena banksi
Andrena barbilabris
Andrena bimaculata
Andrena bradleyi
Andrena bucephala
Andrena canadensis
Andrena carantonica
Andrena carlini
Andrena ceanothi
Andrena cineraria
Andrena cinerea
Andrena clarkella
Andrena coitana
Andrena confinis
Andrena congruens
Andrena crataegi
Andrena denticulata
Andrena dorsata
Andrena dunningi
Andrena ferox
Andrena flavipes
Andrena fucata
Andrena fulva
Andrena fulvago
Andrena haemorrhoa
Andrena helvola
Andrena imitatrix
Andrena labialis
Andrena labiata
Andrena lapponica
Andrena marginata
Andrena mariae
Andrena milwaukeensis
Andrena minutula
Andrena minutuloides
Andrena miserabilis
Andrena nasonii
Andrena nigroaenea
Andrena nitida
Andrena nivalis
Andrena personata
Andrena pilipes
Andrena praecox
Andrena proxima
Andrena pruni
Andrena robertsonii
Andrena rufosignata
Andrena rugosa
Andrena salictaria
Andrena semilaevis
Andrena sigmundi
Andrena subopaca
Andrena suerinensis
Andrena synadelpha
Andrena thaspii
Andrena thoracica
Andrena tibialis
Andrena transbaicalica
Andrena trimmerana
Andrena vicina
Andrena w-scripta
Andrena wheeleri
Andrena wilkella
Andricus aries
Andricus callidoma
Andricus cecconii
Andricus conglomeratus
Andricus coriarius
Andricus curvator
Andricus fecundator
Andricus fecundatrix
Andricus foecundatrix
Andricus grossulariae
Andricus infectorius
Andricus kollari
Andricus legitimus
Andricus lignicola
Andricus lucidus
Andricus mitratus
Andricus ostreus
Andricus quadrilineatus
Andricus quercuscalicis
Andricus quercuscorticis
Andricus quercusramuli
Andricus quercustozae
Andricus solitarius
Androlaelaps casalis
Andromeda polifolia
Andropadus importunus
Andropadus masukuensis
Andropadus virens
Andrya cuniculi
Andryala integrifolia
Andryala pinnatifida
Anemonastrum canadense
Anemone acutiloba
Anemone americana
Anemone coronaria
Anemone hortensis
Anemone hupehensis
Anemone multifida
Anemone nemorosa
Anemone patens
Anemone pavonina
Anemonoides blanda
Anemonoides sylvestris
Anemopsis californica
Anethum graveolens
Angelica capitellata
Angelica gigas
Angelica hendersonii
Angelica hirsutiflora
Angelica lucida
Angelica pachycarpa
Angelica polymorpha
Angelica pubescens
Angelica sylvestris
Angelica tomentosa
Angerona prunaria
Angiostrongylus cantonensis
Angomonas ambiguus
Angomonas deanei
Angophora hispida
Anguilla anguilla
Anguis fragilis
Anicetus annulatus
Anicetus ashmeadi
Anicetus italicus
Anidarnes bicolor
Anidarnes niger
Anigozanthos flavidus
Anisakis pegreffii
Anisakis simplex
Anisodactylus binotatus
Anisodes illepidaria
Anisogramma virgultorum
Anisopteromalus calandrae
Anisostephus betulinus
Anisota finlaysoni
Anisota peigleri
Anisota stigma
Anisota virginiensis
Anisoxya fuscula
Annulohypoxylon stygium
Anobium inexspectatum
Anoda cristata
Anoecia corni
Anogmus hohenheimensis
Anolis carolinensis
Anolis cristatellus
Anolis sagrei
Anomala corpulenta
Anomala cuprea
Anomala rufocuprea
Anomodon viticulosus
Anomognathus cuspidatus
Anopheles (Anopheles) saeungae
Anopheles (Anopheles) wejchoochotei
Anopheles aconitus
Anopheles albimanus
Anopheles annularis
Anopheles arabiensis
Anopheles argyropus
Anopheles B orthobunyavirus
Anopheles barbirostris
Anopheles campestris
Anopheles coluzzii
Anopheles coustani
Anopheles crawfordi
Anopheles dirus
Anopheles flavicosta
Anopheles freeborni
Anopheles funestus
Anopheles gambiae
Anopheles hyrcanus
Anopheles jeyporiensis
Anopheles karwari
Anopheles kochi
Anopheles maculatus
Anopheles maculipalpis
Anopheles mascarensis
Anopheles minimus
Anopheles nigerrimus
Anopheles nitidus
Anopheles pampanai
Anopheles peditaeniatus
Anopheles philippinensis
Anopheles pretoriensis
Anopheles pseudopunctipennis
Anopheles punctipennis
Anopheles quadrimaculatus
Anopheles rampae
Anopheles rufipes
Anopheles sawadwongporni
Anopheles sinensis
Anopheles splendidus
Anopheles squamosus
Anopheles stephensi
Anopheles tessellatus
Anopheles vagus
Anopheles varuna
Anopheles walkeri
Anoplius illinoensis
Anoplocephaloides wimerosa
Anoplodera pubera
Anoplodera sexguttata
Anoplodinium denticulatum
Anoplonyx destructor
Anoplophora glabripennis
Anoplotrupes stercorosus
Anoplus plantaris
Anoplus roboris
Anorrhinus tickelli
Anorthoa munda
Anoscopus serratulae
Anosia plexippus
Anotylus hamatus
Anotylus insecatus
Anotylus inustus
Anotylus sculpturatus
Anotylus tetracarinatus
Anoura peruana
Anredera cordifolia
Anselmella malacia
Anser albifrons
Anser anser
Anteaglonium parvulum
Antennaria corymbosa
Antennaria neglecta
Antennaria plantaginifolia
Antenoron filiforme
Anteos maerula
Antepipona deflenda
Anthaxia caseyi
Anthaxia expansa
Anthaxia millefolii
Anthaxia nitidula
Anthaxia retifer
Anthemis cotula
Anthemus affinis
Anthemus leucaspidis
Anthene emolus
Antheraea paphia
Antheraea pernyi
