"","speciesName_globi","canonicalName_GBIF.canonicalName","canonicalName_GBIF.scientificName","kingdom.kingdom","kingdom.matchType","usageKey"
"13975","Rubus canadensis",Rubus canadensis,NA,Plantae,NA, 2991408
"13976","Rubus crataegifolius",Rubus crataegifolius,NA,Plantae,NA, 2999200
"13977","Rubus cuneifolius",Rubus cuneifolius,NA,Plantae,NA, 2996841
"13978","Rubus deliciosus",Rubus deliciosus,NA,Plantae,NA, 2999961
"13979","Rubus flagellaris",Rubus flagellaris,NA,Plantae,NA, 2992071
"13980","Rubus floribundus",Rubus floribundus,NA,Plantae,NA, 2995395
"13981","Rubus fruticosus",Rubus fruticosus,NA,Plantae,NA, 8436459
"13982","Rubus glaucus",Rubus glaucus,NA,Plantae,NA, 2989746
"13983","Rubus guyanensis",Rubus guyanensis,NA,Plantae,NA, 2999551
"13984","Rubus hispidus",Rubus hispidus,NA,Plantae,NA, 2991369
"13985","Rubus idaeus",Rubus idaeus,NA,Plantae,NA, 2993094
"13986","Rubus laciniatus",Rubus laciniatus,NA,Plantae,NA, 2992543
"13987","Rubus niveus",Rubus niveus,NA,Plantae,NA, 2989183
"13988","Rubus occidentalis",Rubus occidentalis,NA,Plantae,NA, 2991466
"13989","Rubus odoratus",Rubus odoratus,NA,Plantae,NA, 2994912
"13990","Rubus palmatus",Rubus palmatus,NA,Plantae,NA, 2988959
"13991","Rubus pannosus",Rubus pannosus,NA,Plantae,NA, 2994330
"13992","Rubus parviflorus",Rubus parviflorus,NA,Plantae,NA, 7872219
"13993","Rubus pensilvanicus",Rubus pensilvanicus,NA,Plantae,NA, 2989061
"13994","Rubus phoenicolasius",Rubus phoenicolasius,NA,Plantae,NA, 2995149
"13995","Rubus plicatus",Rubus plicatus,NA,Plantae,NA, 2990412
"13996","Rubus polyanthemus",Rubus polyanthemus,NA,Plantae,NA, 2997827
"13997","Rubus pubescens",Rubus pubescens,NA,Plantae,NA, 2989228
"13998","Rubus rosifolius",Rubus rosifolius,NA,Plantae,NA, 8234521
"13999","Rubus sachalinensis",Rubus sachalinensis,NA,Plantae,NA, 2995606
"14000","Rubus spectabilis",Rubus spectabilis,NA,Plantae,NA, 2993761
"14001","Rubus status",Rubus status,NA,Plantae,NA, 2990480
"14002","Rubus stunt phytoplasma",Rubus stans,NA,Plantae,NA, 2993266
"14003","Rubus trivialis",Rubus trivialis,NA,Plantae,NA, 2992760
"14004","Rubus ulmifolius",Rubus ulmifolius,NA,Plantae,NA, 2996929
"14005","Rubus ursinus",Rubus ursinus,NA,Plantae,NA, 2990646
"14006","Rubus urticifolius",Rubus urticifolius,NA,Plantae,NA, 2995471
"14007","Rubus villosus",Rubus,NA,Plantae,NA, 2988638
"14008","Rubus × loganobaccus",Rubus,NA,Plantae,NA, 2988638
"14009","Rudbeckia amplexicaulis",Rudbeckia amplexicaulis,NA,Plantae,NA, 4255472
"14010","Rudbeckia fulgida",Rudbeckia fulgida,NA,Plantae,NA, 7344766
"14011","Rudbeckia hirta",Rudbeckia hirta,NA,Plantae,NA, 3114225
"14012","Rudbeckia laciniata",Rudbeckia laciniata,NA,Plantae,NA, 3114229
"14013","Rudbeckia occidentalis",Rudbeckia occidentalis,NA,Plantae,NA, 3114247
"14014","Rudbeckia scabrifolia",Rudbeckia scabrifolia,NA,Plantae,NA, 4934285
"14015","Rudbeckia subtomentosa",Rudbeckia subtomentosa,NA,Plantae,NA, 3114221
"14016","Rudbeckia triloba",Rudbeckia triloba,NA,Plantae,NA, 3114238
"14017","Rudenia leguminana",Rudenia leguminana,NA,Animalia,NA, 1744212
"14018","Ruellia blechum",Ruellia blechum,NA,Plantae,NA, 5415469
"14019","Ruellia caroliniensis",Ruellia caroliniensis,NA,Plantae,NA, 5415376
"14020","Ruellia humilis",Ruellia humilis,NA,Plantae,NA, 5415395
"14021","Ruellia simplex",Ruellia simplex,NA,Plantae,NA, 5572994
"14022","Ruellia strepens",Ruellia strepens,NA,Plantae,NA, 5415414
"14023","Rugilus rufipes",Rugilus rufipes,NA,Animalia,NA, 4438752
"14024","Ruizantheda mutabilis",Ruizantheda mutabilis,NA,Animalia,NA, 1352001
"14025","Ruizantheda proxima",Ruizantheda proxima,NA,Animalia,NA, 1352003
"14026","Rumex acetosella",Rumex acetosella,NA,Plantae,NA, 2888995
"14027","Rumex conglomeratus",Rumex conglomeratus,NA,Plantae,NA, 2888963
"14028","Rumex crispus",Rumex crispus,NA,Plantae,NA, 8195144
"14029","Rumex obtusifolius",Rumex obtusifolius,NA,Plantae,NA, 2889011
"14030","Rumex sanguineus",Rumex sanguineus,NA,Plantae,NA, 2888960
"14031","Rumex tolimensis",Rumex tolimensis,NA,Plantae,NA, 4035440
"14032","Ruminococcus albus",Ruminococcus albus,NA,Bacteria,NA, 3226768
"14033","Ruminococcus flavefaciens",Ruminococcus flavefaciens,NA,Bacteria,NA,11071022
"14034","Runcinia grammica",Runcinia grammica,NA,Animalia,NA, 2165513
"14035","Rupornis magnirostris",Rupornis magnirostris,NA,Animalia,NA, 5844398
