"","V1","speciesName","relation","taxonKey","GBIFspeciesName","author","taxonLevel","V8","taxonomy","GBIFtaxonomy","taxonomyTaxonlevel","V12","url"
"269",NA,"Bovine mastadenovirus A","NONE","","Bovine mastadenovirus A","","",NA,"","","",NA,""
"270",NA,"Bovine mastadenovirus B","NONE","","Bovine mastadenovirus B","","",NA,"","","",NA,""
"271",NA,"Bovine mastadenovirus C","NONE","","Bovine mastadenovirus C","","",NA,"","","",NA,""
"272",NA,"Bovine nebovirus","NONE","","Bovine nebovirus","","",NA,"","","",NA,""
"273",NA,"Bovine nidovirus 1","NONE","","Bovine nidovirus 1","","",NA,"","","",NA,""
"274",NA,"Bovine orthopneumovirus","NONE","","Bovine orthopneumovirus","","",NA,"","","",NA,""
"275",NA,"Bovine papillomavirus","NONE","","Bovine papillomavirus","","",NA,"","","",NA,""
"276",NA,"Bovine papillomavirus 7Z","NONE","","Bovine papillomavirus 7Z","","",NA,"","","",NA,""
"277",NA,"Bovine papular stomatitis virus","NONE","","Bovine papular stomatitis virus","","",NA,"","","",NA,""
"278",NA,"Bovine parainfluenza virus 3","NONE","","Bovine parainfluenza virus 3","","",NA,"","","",NA,""
"279",NA,"Bovine parvovirus","NONE","","Bovine parvovirus","","",NA,"","","",NA,""
"280",NA,"Bovine picobirnavirus","NONE","","Bovine picobirnavirus","","",NA,"","","",NA,""
"281",NA,"Bovine polyomavirus 2","NONE","","Bovine polyomavirus 2","","",NA,"","","",NA,""
"282",NA,"Bovine polyomavirus 3","NONE","","Bovine polyomavirus 3","","",NA,"","","",NA,""
"283",NA,"Bovine respiratory syncytial virus","NONE","","Bovine respiratory syncytial virus","","",NA,"","","",NA,""
"284",NA,"Bovine respirovirus 3","NONE","","Bovine respirovirus 3","","",NA,"","","",NA,""
"285",NA,"Bovine retrovirus CH15","NONE","","Bovine retrovirus CH15","","",NA,"","","",NA,""
"286",NA,"Bovine rhinitis A virus","NONE","","Bovine rhinitis A virus","","",NA,"","","",NA,""
"287",NA,"Bovine rhinitis B virus","NONE","","Bovine rhinitis B virus","","",NA,"","","",NA,""
"288",NA,"Bovine rhinovirus 1","NONE","","Bovine rhinovirus 1","","",NA,"","","",NA,""
"289",NA,"Bovine serum-associated circular virus","NONE","","Bovine serum-associated circular virus","","",NA,"","","",NA,""
"290",NA,"Bovine torovirus","NONE","","Bovine torovirus","","",NA,"","","",NA,""
"291",NA,"Bovine viral diarrhea virus 1","NONE","","Bovine viral diarrhea virus 1","","",NA,"","","",NA,""
"292",NA,"Bovine viral diarrhea virus 2","NONE","","Bovine viral diarrhea virus 2","","",NA,"","","",NA,""
"293",NA,"Bovismacovirus bovas1","NONE","","Bovismacovirus bovas1","","",NA,"","","",NA,""
"294",NA,"Bovismacovirus bovas2","NONE","","Bovismacovirus bovas2","","",NA,"","","",NA,""
"295",NA,"Brachyspira muris","NONE","","Brachyspira muris","","",NA,"","","",NA,""
"296",NA,"Brachyspira pulli","NONE","","Brachyspira pulli","","",NA,"","","",NA,""
"297",NA,"Brassica rapa subsp. chinensis","NONE","","Brassica rapa subsp. chinensis","","",NA,"","","",NA,""
"298",NA,"Brucella sp.","NONE","","Brucella sp.","","",NA,"","","",NA,""
"299",NA,"Bubaline alphaherpesvirus 1","NONE","","Bubaline alphaherpesvirus 1","","",NA,"","","",NA,""
"300",NA,"Buckland Valley grapevine yellows phytoplasma","NONE","","Buckland Valley grapevine yellows phytoplasma","","",NA,"","","",NA,""
"301",NA,"Bunyamwera orthobunyavirus","NONE","","Bunyamwera orthobunyavirus","","",NA,"","","",NA,""
"302",NA,"Bunyamwera virus","NONE","","Bunyamwera virus","","",NA,"","","",NA,""
"303",NA,"Burnsius albescens","NONE","","Burnsius albescens","","",NA,"","","",NA,""
"304",NA,"Burnsius sp.","NONE","","Burnsius sp.","","",NA,"","","",NA,""
"305",NA,"Cacoscelis nigripennis","NONE","","Cacoscelis nigripennis","","",NA,"","","",NA,""
"306",NA,"Caeoma luminatum","NONE","","Caeoma luminatum","","",NA,"","","",NA,""
"307",NA,"Calicivirus isolate TCG","NONE","","Calicivirus isolate TCG","","",NA,"","","",NA,""
"308",NA,"Calicophoron phillerouxi","NONE","","Calicophoron phillerouxi","","",NA,"","","",NA,""
"309",NA,"Calicophoron raja","NONE","","Calicophoron raja","","",NA,"","","",NA,""
"310",NA,"California encephalitis orthobunyavirus","NONE","","California encephalitis orthobunyavirus","","",NA,"","","",NA,""
"311",NA,"California encephalitis virus","NONE","","California encephalitis virus","","",NA,"","","",NA,""
"312",NA,"Caligula japonica","NONE","","Caligula japonica","","",NA,"","","",NA,""
"313",NA,"Callianthe vexillarium","NONE","","Callianthe vexillarium","","",NA,"","","",NA,""
"314",NA,"Callidium antennatus","NONE","","Callidium antennatus","","",NA,"","","",NA,""
"315",NA,"Callidium cicatricostum","NONE","","Callidium cicatricostum","","",NA,"","","",NA,""
"316",NA,"Calliphora sp.","NONE","","Calliphora sp.","","",NA,"","","",NA,""
"317",NA,"Calliphoridae sp.","NONE","","Calliphoridae sp.","","",NA,"","","",NA,""
"318",NA,"Calluna_vulgaris","NONE","","Calluna_vulgaris","","",NA,"","","",NA,""
"319",NA,"Calosphaeria macrospora","NONE","","Calosphaeria macrospora","","",NA,"","","",NA,""
"320",NA,"Calospora pickeli","NONE","","Calospora pickeli","","",NA,"","","",NA,""
"321",NA,"Calovo virus","NONE","","Calovo virus","","",NA,"","","",NA,""
"322",NA,"Camellia oleifera amalgavirus 1","NONE","","Camellia oleifera amalgavirus 1","","",NA,"","","",NA,""
"323",NA,"Camelostrongylus odocoilei","NONE","","Camelostrongylus odocoilei","","",NA,"","","",NA,""
"324",NA,"Campylobacter sp.","NONE","","Campylobacter sp.","","",NA,"","","",NA,""
"325",NA,"Canna x generalis","NONE","","Canna x generalis","","",NA,"","","",NA,""
"326",NA,"Capillaria meleagris","NONE","","Capillaria meleagris","","",NA,"","","",NA,""
"327",NA,"Capillaria retusa","NONE","","Capillaria retusa","","",NA,"","","",NA,""
"328",NA,"Capnodium caespitosum","NONE","","Capnodium caespitosum","","",NA,"","","",NA,""
"329",NA,"Capnodium expansum","NONE","","Capnodium expansum","","",NA,"","","",NA,""
"330",NA,"Capnodium fuliginoides","NONE","","Capnodium fuliginoides","","",NA,"","","",NA,""
"331",NA,"Capnodium persoonii","NONE","","Capnodium persoonii","","",NA,"","","",NA,""
"332",NA,"Caprine alphaherpesvirus 1","NONE","","Caprine alphaherpesvirus 1","","",NA,"","","",NA,""
"333",NA,"Caprine herpesvirus 1","NONE","","Caprine herpesvirus 1","","",NA,"","","",NA,""
"334",NA,"Cardiovirus A","NONE","","Cardiovirus A","","",NA,"","","",NA,""
"335",NA,"Carmyerius gregarius","NONE","","Carmyerius gregarius","","",NA,"","","",NA,""
"336",NA,"Carmyerius mancupatus","NONE","","Carmyerius mancupatus","","",NA,"","","",NA,""
"337",NA,"Carmyerius spatiosus","NONE","","Carmyerius spatiosus","","",NA,"","","",NA,""
"338",NA,"Carnation Italian ringspot virus","NONE","","Carnation Italian ringspot virus","","",NA,"","","",NA,""
"339",NA,"Carya illinoiensis","NONE","","Carya illinoiensis","","",NA,"","","",NA,""
"340",NA,"Caryopteris incana × mongholica","NONE","","Caryopteris incana × mongholica","","",NA,"","","",NA,""
"341",NA,"Cavariella (Cavariella) aegopodii","NONE","","Cavariella (Cavariella) aegopodii","","",NA,"","","",NA,""
"342",NA,"Cavariella (Cavariella) pastinacae","NONE","","Cavariella (Cavariella) pastinacae","","",NA,"","","",NA,""
"343",NA,"Ceanothus var.","NONE","","Ceanothus var.","","",NA,"","","",NA,""
"344",NA,"Cenangium rugosum","NONE","","Cenangium rugosum","","",NA,"","","",NA,""
"345",NA,"Centrotus cornutus","NONE","","Centrotus cornutus","","",NA,"","","",NA,""
"346",NA,"Cephalosporium carpogenum","NONE","","Cephalosporium carpogenum","","",NA,"","","",NA,""
"347",NA,"Cerastium sp","NONE","","Cerastium sp","","",NA,"","","",NA,""
"348",NA,"Ceratobasidium sp.","NONE","","Ceratobasidium sp.","","",NA,"","","",NA,""
"349",NA,"Ceratostoma hystricina","NONE","","Ceratostoma hystricina","","",NA,"","","",NA,""
"350",NA,"Ceratostoma subrufum","NONE","","Ceratostoma subrufum","","",NA,"","","",NA,""
"351",NA,"Cercospora berkeleyi","NONE","","Cercospora berkeleyi","","",NA,"","","",NA,""
"352",NA,"Cercospora capreolata","NONE","","Cercospora capreolata","","",NA,"","","",NA,""
"353",NA,"Cercospora duplicata","NONE","","Cercospora duplicata","","",NA,"","","",NA,""
"354",NA,"Cercospora ficina","NONE","","Cercospora ficina","","",NA,"","","",NA,""
"355",NA,"Cercospora hydrangeana","NONE","","Cercospora hydrangeana","","",NA,"","","",NA,""
"356",NA,"Cercospora illinoensis","NONE","","Cercospora illinoensis","","",NA,"","","",NA,""
"357",NA,"Cercospora leoni","NONE","","Cercospora leoni","","",NA,"","","",NA,""
"358",NA,"Cercospora malloti","NONE","","Cercospora malloti","","",NA,"","","",NA,""
"359",NA,"Cercospora minima","NONE","","Cercospora minima","","",NA,"","","",NA,""
"360",NA,"Cercospora missouriensis","NONE","","Cercospora missouriensis","","",NA,"","","",NA,""
"361",NA,"Cercospora olivacea","NONE","","Cercospora olivacea","","",NA,"","","",NA,""
"362",NA,"Cercospora pulvinata","NONE","","Cercospora pulvinata","","",NA,"","","",NA,""
"363",NA,"Cercospora roesleri","NONE","","Cercospora roesleri","","",NA,"","","",NA,""
"364",NA,"Cercospora seymouriana","NONE","","Cercospora seymouriana","","",NA,"","","",NA,""
"365",NA,"Cercospora sycina","NONE","","Cercospora sycina","","",NA,"","","",NA,""
"366",NA,"Cercospora thujina","NONE","","Cercospora thujina","","",NA,"","","",NA,""
"367",NA,"Cercospora ueharae","NONE","","Cercospora ueharae","","",NA,"","","",NA,""
"368",NA,"Cercosporella arachnoidea","NONE","","Cercosporella arachnoidea","","",NA,"","","",NA,""
"369",NA,"Cercosporella mori","NONE","","Cercosporella mori","","",NA,"","","",NA,""
"370",NA,"Cervid alphaherpesvirus 1","NONE","","Cervid alphaherpesvirus 1","","",NA,"","","",NA,""
"371",NA,"Cervid alphaherpesvirus 3","NONE","","Cervid alphaherpesvirus 3","","",NA,"","","",NA,""
"372",NA,"Cervid herpesvirus","NONE","","Cervid herpesvirus","","",NA,"","","",NA,""
"373",NA,"Cervine adenovirus","NONE","","Cervine adenovirus","","",NA,"","","",NA,""
"374",NA,"Ceuthospora glandicola","NONE","","Ceuthospora glandicola","","",NA,"","","",NA,""
"375",NA,"cf. Cotoneaster franchetii","NONE","","cf. Cotoneaster franchetii","","",NA,"","","",NA,""
"376",NA,"cf. Eucera sp.","NONE","","cf. Eucera sp.","","",NA,"","","",NA,""
"377",NA,"cf. Macropis sp.","NONE","","cf. Macropis sp.","","",NA,"","","",NA,""
"378",NA,"Chaenomeles lagenaria","NONE","","Chaenomeles lagenaria","","",NA,"","","",NA,""
"379",NA,"Chalicodoma ustulata","NONE","","Chalicodoma ustulata","","",NA,"","","",NA,""
"380",NA,"Chamyris cerintha","NONE","","Chamyris cerintha","","",NA,"","","",NA,""
"381",NA,"Chandipura vesiculovirus","NONE","","Chandipura vesiculovirus","","",NA,"","","",NA,""
"382",NA,"Cheilospirura hamulosa","NONE","","Cheilospirura hamulosa","","",NA,"","","",NA,""
"383",NA,"Chentraspis unilobis","NONE","","Chentraspis unilobis","","",NA,"","","",NA,""
"384",NA,"Cherry associated luteovirus","NONE","","Cherry associated luteovirus","","",NA,"","","",NA,""
"385",NA,"Cherry green ring mottle virus","NONE","","Cherry green ring mottle virus","","",NA,"","","",NA,""
"386",NA,"Cherry leaf roll virus","NONE","","Cherry leaf roll virus","","",NA,"","","",NA,""
"387",NA,"Cherry leaf scorch small circular viroid-like RNA 1","NONE","","Cherry leaf scorch small circular viroid-like RNA 1","","",NA,"","","",NA,""
"388",NA,"Cherry mottle leaf virus","NONE","","Cherry mottle leaf virus","","",NA,"","","",NA,""
"389",NA,"Cherry necrotic rusty mottle virus","NONE","","Cherry necrotic rusty mottle virus","","",NA,"","","",NA,""
"390",NA,"Cherry rasp leaf virus","NONE","","Cherry rasp leaf virus","","",NA,"","","",NA,""
"391",NA,"Cherry rusty mottle associated virus","NONE","","Cherry rusty mottle associated virus","","",NA,"","","",NA,""
"392",NA,"Cherry small circular viroid-like RNA","NONE","","Cherry small circular viroid-like RNA","","",NA,"","","",NA,""
"393",NA,"Cherry twisted leaf associated virus","NONE","","Cherry twisted leaf associated virus","","",NA,"","","",NA,""
"394",NA,"Cherry virus A","NONE","","Cherry virus A","","",NA,"","","",NA,""
"395",NA,"Cherry virus Trakiya","NONE","","Cherry virus Trakiya","","",NA,"","","",NA,""
"396",NA,"Chick syncytial virus","NONE","","Chick syncytial virus","","",NA,"","","",NA,""
"397",NA,"Chicken anemia virus","NONE","","Chicken anemia virus","","",NA,"","","",NA,""
"398",NA,"Chicken associated cyclovirus 1","NONE","","Chicken associated cyclovirus 1","","",NA,"","","",NA,""
"399",NA,"Chicken associated cyclovirus 2","NONE","","Chicken associated cyclovirus 2","","",NA,"","","",NA,""
"400",NA,"Chicken associated huchismacovirus 1","NONE","","Chicken associated huchismacovirus 1","","",NA,"","","",NA,""
"401",NA,"Chicken associated huchismacovirus 2","NONE","","Chicken associated huchismacovirus 2","","",NA,"","","",NA,""
"402",NA,"Chicken associated smacovirus","NONE","","Chicken associated smacovirus","","",NA,"","","",NA,""
"403",NA,"Chicken astrovirus","NONE","","Chicken astrovirus","","",NA,"","","",NA,""
"404",NA,"Chicken enteric coronavirus","NONE","","Chicken enteric coronavirus","","",NA,"","","",NA,""
"405",NA,"Chicken megrivirus","NONE","","Chicken megrivirus","","",NA,"","","",NA,""
"406",NA,"Chicken orivirus 1","NONE","","Chicken orivirus 1","","",NA,"","","",NA,""
"407",NA,"Chicken picobirnavirus","NONE","","Chicken picobirnavirus","","",NA,"","","",NA,""
"408",NA,"Chicken picornavirus 1","NONE","","Chicken picornavirus 1","","",NA,"","","",NA,""
"409",NA,"Chicken picornavirus 4","NONE","","Chicken picornavirus 4","","",NA,"","","",NA,""
"410",NA,"Chicken stool-associated circular virus","NONE","","Chicken stool-associated circular virus","","",NA,"","","",NA,""
"411",NA,"Chicken stool associated circular virus 1","NONE","","Chicken stool associated circular virus 1","","",NA,"","","",NA,""
"412",NA,"Chicken stool associated circular virus 2","NONE","","Chicken stool associated circular virus 2","","",NA,"","","",NA,""
"413",NA,"Chilodes maritimus","NONE","","Chilodes maritimus","","",NA,"","","",NA,""
"414",NA,"Chilonectria crinigera","NONE","","Chilonectria crinigera","","",NA,"","","",NA,""
"415",NA,"Chlamydia caviae","NONE","","Chlamydia caviae","","",NA,"","","",NA,""
"416",NA,"Chloroidium lobatum","NONE","","Chloroidium lobatum","","",NA,"","","",NA,""
"417",NA,"Chobar Gorge virus","NONE","","Chobar Gorge virus","","",NA,"","","",NA,""
"418",NA,"Chronic bee paralysis virus","NONE","","Chronic bee paralysis virus","","",NA,"","","",NA,""
"419",NA,"Chrysanthemum chlorotic mottle viroid","NONE","","Chrysanthemum chlorotic mottle viroid","","",NA,"","","",NA,""
"420",NA,"Chrysanthemum virus B","NONE","","Chrysanthemum virus B","","",NA,"","","",NA,""
"421",NA,"Chrysanthemum x morifolium","NONE","","Chrysanthemum x morifolium","","",NA,"","","",NA,""
"422",NA,"Chrysotoxum bicinctum","NONE","","Chrysotoxum bicinctum","","",NA,"","","",NA,""
"423",NA,"Cigaritis ictis","NONE","","Cigaritis ictis","","",NA,"","","",NA,""
"424",NA,"Circoviridae SFBeef","NONE","","Circoviridae SFBeef","","",NA,"","","",NA,""
"425",NA,"Citrus exocortis viroid","NONE","","Citrus exocortis viroid","","",NA,"","","",NA,""
"426",NA,"Citrus paridisi","NONE","","Citrus paridisi","","",NA,"","","",NA,""
"427",NA,"Cittotaenia variabilis","NONE","","Cittotaenia variabilis","","",NA,"","","",NA,""
"428",NA,"Cladosporium coralloides","NONE","","Cladosporium coralloides","","",NA,"","","",NA,""
"429",NA,"Cladosporium penicilloides","NONE","","Cladosporium penicilloides","","",NA,"","","",NA,""
"430",NA,"Cladosporium punculatum","NONE","","Cladosporium punculatum","","",NA,"","","",NA,""
"431",NA,"Clavipalpus ursinus","NONE","","Clavipalpus ursinus","","",NA,"","","",NA,""
"432",NA,"Cleobora mellyi","NONE","","Cleobora mellyi","","",NA,"","","",NA,""
"433",NA,"Cloudy wing virus","NONE","","Cloudy wing virus","","",NA,"","","",NA,""
"434",NA,"Cnemidocoptes mutans","NONE","","Cnemidocoptes mutans","","",NA,"","","",NA,""
"435",NA,"Coastal Plains tibrovirus","NONE","","Coastal Plains tibrovirus","","",NA,"","","",NA,""
"436",NA,"Cocal vesiculovirus","NONE","","Cocal vesiculovirus","","",NA,"","","",NA,""
"437",NA,"Coccinella sp.","NONE","","Coccinella sp.","","",NA,"","","",NA,""
"438",NA,"Codiaeum variegatum ex","NONE","","Codiaeum variegatum ex","","",NA,"","","",NA,""
"439",NA,"Coenobiodes granitalis","NONE","","Coenobiodes granitalis","","",NA,"","","",NA,""
"440",NA,"Colias erate ","NONE","","Colias erate ","","",NA,"","","",NA,""
"441",NA,"Colletes (Colletes) hederae","NONE","","Colletes (Colletes) hederae","","",NA,"","","",NA,""
"442",NA,"Colletotrichum griseum","NONE","","Colletotrichum griseum","","",NA,"","","",NA,""
"443",NA,"Colletotrichum hedericola","NONE","","Colletotrichum hedericola","","",NA,"","","",NA,""
"444",NA,"Colletotrichum revolutum","NONE","","Colletotrichum revolutum","","",NA,"","","",NA,""
"445",NA,"Collonema papillatum","NONE","","Collonema papillatum","","",NA,"","","",NA,""
"446",NA,"Colorado tick fever coltivirus","NONE","","Colorado tick fever coltivirus","","",NA,"","","",NA,""
"447",NA,"Compsidolon (Coniortodes) salicellum","NONE","","Compsidolon (Coniortodes) salicellum","","",NA,"","","",NA,""
"448",NA,"Conidiocarpus fuliginodes","NONE","","Conidiocarpus fuliginodes","","",NA,"","","",NA,""
"449",NA,"Coniothecium sociale","NONE","","Coniothecium sociale","","",NA,"","","",NA,""
"450",NA,"Conopia acerrubri","NONE","","Conopia acerrubri","","",NA,"","","",NA,""
"451",NA,"Convulvulos tricolor","NONE","","Convulvulos tricolor","","",NA,"","","",NA,""
"452",NA,"Cooperi punctata","NONE","","Cooperi punctata","","",NA,"","","",NA,""
"453",NA,"Copidosoma baii","NONE","","Copidosoma baii","","",NA,"","","",NA,""
"454",NA,"Coreopsis  tinctoria","NONE","","Coreopsis  tinctoria","","",NA,"","","",NA,""
"455",NA,"Coronavirus PREDICT_CoV-100","NONE","","Coronavirus PREDICT_CoV-100","","",NA,"","","",NA,""
"456",NA,"Coronavirus Rabbit_CoV/La06_256/Ory_cun/ESP/2006","NONE","","Coronavirus Rabbit_CoV/La06_256/Ory_cun/ESP/2006","","",NA,"","","",NA,""
"457",NA,"Coronavirus Rabbit_CoV/La09_24/Ory_cun/ESP/2009","NONE","","Coronavirus Rabbit_CoV/La09_24/Ory_cun/ESP/2009","","",NA,"","","",NA,""
"458",NA,"Coronavirus Rabbit_CoV/La09_31/Ory_cun/ESP/2009","NONE","","Coronavirus Rabbit_CoV/La09_31/Ory_cun/ESP/2009","","",NA,"","","",NA,""
"459",NA,"Coronavirus Rabbit_CoV/La09_32/Ory_cun/ESP/2009","NONE","","Coronavirus Rabbit_CoV/La09_32/Ory_cun/ESP/2009","","",NA,"","","",NA,""
"460",NA,"Coronavirus Rabbit_CoV/La09_48/Ory_cun/ESP/2009","NONE","","Coronavirus Rabbit_CoV/La09_48/Ory_cun/ESP/2009","","",NA,"","","",NA,""
"461",NA,"Coronavirus RCoV/D_RMU10_1087/Apo_fla/GER/2010","NONE","","Coronavirus RCoV/D_RMU10_1087/Apo_fla/GER/2010","","",NA,"","","",NA,""
"462",NA,"Coronavirus RCoV/RMU10_3052/Apo_fla/GER/2010","NONE","","Coronavirus RCoV/RMU10_3052/Apo_fla/GER/2010","","",NA,"","","",NA,""
"463",NA,"Coronavirus RCoV/RMU10_3147/Apo_fla/GER/2010","NONE","","Coronavirus RCoV/RMU10_3147/Apo_fla/GER/2010","","",NA,"","","",NA,""
"464",NA,"Coronavirus Susurluk10","NONE","","Coronavirus Susurluk10","","",NA,"","","",NA,""
"465",NA,"Corriparta virus","NONE","","Corriparta virus","","",NA,"","","",NA,""
"466",NA,"Corticium juniperophilum","NONE","","Corticium juniperophilum","","",NA,"","","",NA,""
"467",NA,"Corticium sebaciniforme","NONE","","Corticium sebaciniforme","","",NA,"","","",NA,""
"468",NA,"Corticium subroseum","NONE","","Corticium subroseum","","",NA,"","","",NA,""
"469",NA,"Coryneum piricola","NONE","","Coryneum piricola","","",NA,"","","",NA,""
"470",NA,"Coryneum pustulatum","NONE","","Coryneum pustulatum","","",NA,"","","",NA,""
"471",NA,"Cosmacovirus bovas1","NONE","","Cosmacovirus bovas1","","",NA,"","","",NA,""
"472",NA,"Cossonus tardii","NONE","","Cossonus tardii","","",NA,"","","",NA,""
"473",NA,"Cotoneaster franchetii?","NONE","","Cotoneaster franchetii?","","",NA,"","","",NA,""
"474",NA,"Cotugnia diagonopora","NONE","","Cotugnia diagonopora","","",NA,"","","",NA,""
"475",NA,"Cotylophoron cotylophorum","NONE","","Cotylophoron cotylophorum","","",NA,"","","",NA,""
"476",NA,"Cowpox virus","NONE","","Cowpox virus","","",NA,"","","",NA,""
"477",NA,"Crateagus sp.","NONE","","Crateagus sp.","","",NA,"","","",NA,""
"478",NA,"Creonectria verrucosa","NONE","","Creonectria verrucosa","","",NA,"","","",NA,""
"479",NA,"Cricket paralysis virus","NONE","","Cricket paralysis virus","","",NA,"","","",NA,""
"480",NA,"Crimean-Congo hemorrhagic fever nairovirus","NONE","","Crimean-Congo hemorrhagic fever nairovirus","","",NA,"","","",NA,""
"481",NA,"Crimean-Congo hemorrhagic fever orthonairovirus","NONE","","Crimean-Congo hemorrhagic fever orthonairovirus","","",NA,"","","",NA,""
"482",NA,"Crimean-Congo hemorrhagic fever virus","NONE","","Crimean-Congo hemorrhagic fever virus","","",NA,"","","",NA,""
"483",NA,"Crimissa nr. cruralis CND-2003","NONE","","Crimissa nr. cruralis CND-2003","","",NA,"","","",NA,""
"484",NA,"Crithidia acanthocephali","NONE","","Crithidia acanthocephali","","",NA,"","","",NA,""
"485",NA,"Crithidia bombi","NONE","","Crithidia bombi","","",NA,"","","",NA,""
"486",NA,"Crithidia luciliae","NONE","","Crithidia luciliae","","",NA,"","","",NA,""
"487",NA,"Crithidia mellificae","NONE","","Crithidia mellificae","","",NA,"","","",NA,""
"488",NA,"Crocidura russula cytomegalovirus 1","NONE","","Crocidura russula cytomegalovirus 1","","",NA,"","","",NA,""
"489",NA,"Crocosmia var. 1","NONE","","Crocosmia var. 1","","",NA,"","","",NA,""
"490",NA,"Cronartium quercuum ex","NONE","","Cronartium quercuum ex","","",NA,"","","",NA,""
"491",NA,"Cryptomyzus (Cryptomyzus) ribis","NONE","","Cryptomyzus (Cryptomyzus) ribis","","",NA,"","","",NA,""
"492",NA,"CRYPTOSPOIDIUM GALLI","NONE","","CRYPTOSPOIDIUM GALLI","","",NA,"","","",NA,""
"493",NA,"Cryptosporidium ryanae","NONE","","Cryptosporidium ryanae","","",NA,"","","",NA,""
"494",NA,"Cryptosporium epiphyllum","NONE","","Cryptosporium epiphyllum","","",NA,"","","",NA,""
"495",NA,"Cryptosporium ferrugineum","NONE","","Cryptosporium ferrugineum","","",NA,"","","",NA,""
"496",NA,"Cryptosporium perularum","NONE","","Cryptosporium perularum","","",NA,"","","",NA,""
"497",NA,"Ctenotaenia denticulata","NONE","","Ctenotaenia denticulata","","",NA,"","","",NA,""
"498",NA,"Ctenotaenia pectinata","NONE","","Ctenotaenia pectinata","","",NA,"","","",NA,""
"499",NA,"Ctenotaenia variabilis","NONE","","Ctenotaenia variabilis","","",NA,"","","",NA,""
"500",NA,"Cucurbit aphid-borne yellows virus","NONE","","Cucurbit aphid-borne yellows virus","","",NA,"","","",NA,""
"501",NA,"Cucurbitaria acerina","NONE","","Cucurbitaria acerina","","",NA,"","","",NA,""
"502",NA,"Cudotogaster heterographus","NONE","","Cudotogaster heterographus","","",NA,"","","",NA,""
"503",NA,"Cylindrocladium lanceolatum","NONE","","Cylindrocladium lanceolatum","","",NA,"","","",NA,""
"504",NA,"Cylindrosporium hamatum","NONE","","Cylindrosporium hamatum","","",NA,"","","",NA,""
"505",NA,"Cylindrosporium prunophorae","NONE","","Cylindrosporium prunophorae","","",NA,"","","",NA,""
"506",NA,"Cylindrosporium rubi","NONE","","Cylindrosporium rubi","","",NA,"","","",NA,""
"507",NA,"Cynips mirabilis","NONE","","Cynips mirabilis","","",NA,"","","",NA,""
"508",NA,"Cypovirus 4","NONE","","Cypovirus 4","","",NA,"","","",NA,""
"509",NA,"Cyrnea colini","NONE","","Cyrnea colini","","",NA,"","","",NA,""
"510",NA,"Cysticercus bovis","NONE","","Cysticercus bovis","","",NA,"","","",NA,""
"511",NA,"Cytisus cf. × boskoopii","NONE","","Cytisus cf. × boskoopii","","",NA,"","","",NA,""
"512",NA,"Cytospora coccinea","NONE","","Cytospora coccinea","","",NA,"","","",NA,""
"513",NA,"Cytospora orthospora","NONE","","Cytospora orthospora","","",NA,"","","",NA,""
"514",NA,"Cytospora sepincola","NONE","","Cytospora sepincola","","",NA,"","","",NA,""
"515",NA,"Cytospora thujae","NONE","","Cytospora thujae","","",NA,"","","",NA,""
"516",NA,"Cytosporella carnea","NONE","","Cytosporella carnea","","",NA,"","","",NA,""
"517",NA,"Dacrymyces aurantiacus","NONE","","Dacrymyces aurantiacus","","",NA,"","","",NA,""
"518",NA,"Dappula tertia","NONE","","Dappula tertia","","",NA,"","","",NA,""
"519",NA,"Dasistoma macrophylla","NONE","","Dasistoma macrophylla","","",NA,"","","",NA,""
"520",NA,"Dasmithius camelliae","NONE","","Dasmithius camelliae","","",NA,"","","",NA,""
"521",NA,"Dasymutilla campanula","NONE","","Dasymutilla campanula","","",NA,"","","",NA,""
"522",NA,"Dasymutilla leda","NONE","","Dasymutilla leda","","",NA,"","","",NA,""
"523",NA,"Dasyscypha bicolor","NONE","","Dasyscypha bicolor","","",NA,"","","",NA,""
"524",NA,"Dasyscyphus ciliata","NONE","","Dasyscyphus ciliata","","",NA,"","","",NA,""
"525",NA,"Dasyscyphus incarnatus","NONE","","Dasyscyphus incarnatus","","",NA,"","","",NA,""
"526",NA,"DAVAINEA   =RAILLIETINA (R.) ECHINOBOTHRIDA","NONE","","DAVAINEA   =RAILLIETINA (R.) ECHINOBOTHRIDA","","",NA,"","","",NA,""
"527",NA,"DAVAINEA  =RAILLIETINA (R.) ECHINOBOTHRIDA","NONE","","DAVAINEA  =RAILLIETINA (R.) ECHINOBOTHRIDA","","",NA,"","","",NA,""
"528",NA,"DAVAINEA  =RAILLIETINA (R.) TETRAGONA","NONE","","DAVAINEA  =RAILLIETINA (R.) TETRAGONA","","",NA,"","","",NA,""
"529",NA,"Deformed wing virus","NONE","","Deformed wing virus","","",NA,"","","",NA,""
"530",NA,"Deltapapillomavirus 4","NONE","","Deltapapillomavirus 4","","",NA,"","","",NA,""
"531",NA,"Dendroleon speciosum","NONE","","Dendroleon speciosum","","",NA,"","","",NA,""
"532",NA,"Dendrolimus punctatus","NONE","","Dendrolimus punctatus","","",NA,"","","",NA,""
"533",NA,"Dendrophoma carestiae","NONE","","Dendrophoma carestiae","","",NA,"","","",NA,""
"534",NA,"Dendrophoma crassicollis","NONE","","Dendrophoma crassicollis","","",NA,"","","",NA,""
"535",NA,"Depazea aceris","NONE","","Depazea aceris","","",NA,"","","",NA,""
