"","V1","speciesName","relation","taxonKey","GBIFspeciesName","author","taxonLevel","V8","taxonomy","GBIFtaxonomy","taxonomyTaxonlevel","V12","url"
"94",NA,"Apodemus flavicollis cytomegalovirus 3","NONE","","Apodemus flavicollis cytomegalovirus 3","","",NA,"","","",NA,""
"95",NA,"Apodemus flavicollis herpesvirus","NONE","","Apodemus flavicollis herpesvirus","","",NA,"","","",NA,""
"96",NA,"Apodemus flavicollis polyomavirus 1","NONE","","Apodemus flavicollis polyomavirus 1","","",NA,"","","",NA,""
"97",NA,"Apodemus flavicollis rhadinovirus 1","NONE","","Apodemus flavicollis rhadinovirus 1","","",NA,"","","",NA,""
"98",NA,"Aposphaeria inophila","NONE","","Aposphaeria inophila","","",NA,"","","",NA,""
"99",NA,"Apple chlorotic leaf spot virus","NONE","","Apple chlorotic leaf spot virus","","",NA,"","","",NA,""
"100",NA,"Apple scar","NONE","","Apple scar","","",NA,"","","",NA,""
"101",NA,"Apple scar skin viroid","NONE","","Apple scar skin viroid","","",NA,"","","",NA,""
"102",NA,"Apple stem grooving virus","NONE","","Apple stem grooving virus","","",NA,"","","",NA,""
"103",NA,"Apple stem pitting virus","NONE","","Apple stem pitting virus","","",NA,"","","",NA,""
"104",NA,"Apricot latent ringspot virus","NONE","","Apricot latent ringspot virus","","",NA,"","","",NA,""
"105",NA,"Aprostocetus strobilus","NONE","","Aprostocetus strobilus","","",NA,"","","",NA,""
"106",NA,"Aprutides guidettii","NONE","","Aprutides guidettii","","",NA,"","","",NA,""
"107",NA,"Aprutides martuccii","NONE","","Aprutides martuccii","","",NA,"","","",NA,""
"108",NA,"Arabis mosaic virus","NONE","","Arabis mosaic virus","","",NA,"","","",NA,""
"109",NA,"Archips fuscocupreanus","NONE","","Archips fuscocupreanus","","",NA,"","","",NA,""
"110",NA,"Arctornis kumatai","NONE","","Arctornis kumatai","","",NA,"","","",NA,""
"111",NA,"ARGAS AMERICANUS  =MINIATUS","NONE","","ARGAS AMERICANUS  =MINIATUS","","",NA,"","","",NA,""
"112",NA,"Aroa virus","NONE","","Aroa virus","","",NA,"","","",NA,""
"113",NA,"Arthrobotrys superba","NONE","","Arthrobotrys superba","","",NA,"","","",NA,""
"114",NA,"Ascaridia styphlocerca","NONE","","Ascaridia styphlocerca","","",NA,"","","",NA,""
"115",NA,"Ascia sp.","NONE","","Ascia sp.","","",NA,"","","",NA,""
"116",NA,"Asciodema obsoletum","NONE","","Asciodema obsoletum","","",NA,"","","",NA,""
"117",NA,"Asclepias curassavica","NONE","","Asclepias curassavica","","",NA,"","","",NA,""
"118",NA,"Ascochyta tecomae","NONE","","Ascochyta tecomae","","",NA,"","","",NA,""
"119",NA,"Ascochytella symphoricarpi","NONE","","Ascochytella symphoricarpi","","",NA,"","","",NA,""
"120",NA,"ASCOCOTYLE (A.) LEIGHI","NONE","","ASCOCOTYLE (A.) LEIGHI","","",NA,"","","",NA,""
