     40 EOL:176683 | GBIF:1920496 | INAT_TAXON:55626 | IRMNG:10277812 | IRMNG:10366657 | IRMNG:10863557 | IRMNG:11200488 | ITIS:188541 | NCBI:64459 | WD:Q27653 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Pieris_rapae_Linnaeus_1758 | http://treatment.plazi.org/id/6105C6702134FEC7F7A2DAD630312E42	Pieris rapae	species	Pieris rapae	Arthropoda	Animalia	visitsFlowersOf	EOL:176683 | GBIF:1920496 | INAT_TAXON:55626 | IRMNG:10277812 | IRMNG:10366657 | IRMNG:10863557 | IRMNG:11200488 | ITIS:188541 | NCBI:64459 | WD:Q27653 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Pieris_rapae_Linnaeus_1758 | http://treatment.plazi.org/id/6105C6702134FEC7F7A2DAD630312E42	Pieris rapae	species	Pieris rapae	Arthropoda	Animalia
     40 COL:9F24G | EOL:639702 | GBIF:11001304 | GBIF:5359634 | IRMNG:11010473 | NCBI:1125897 | WD:Q15533473	Dioclea malacocarpa	species	Dioclea malacocarpa	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0132	BOLD:AAA0132			Arthropoda	
     38 EOL:311526 | GBIF:2437438 | INAT_TAXON:46217 | IRMNG:11111171 | ITIS:180207 | NCBI:45474 | WD:Q692664 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Tamias_striatus_Linnaeus_1758 | http://treatment.plazi.org/id/AD583E8E62177033AF6360CFA6DFAD34	Tamias striatus	species	Tamias striatus	Chordata	Animalia	visitsFlowersOf	https://www.inaturalist.org/taxa/48460	Life				
     38 COL:8MVN | GBIF:3830289 | NCBI:1504160	Abuta panamensis	species	Abuta panamensis	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB2106	BOLD:AAB2106			Arthropoda	
     37 GBIF:2643357 | IRMNG:1009992 | ITIS:203722 | NCBI:996151 | WORMS:205862	Chlorodesmis	genus		Chlorophyta	Plantae	hasHost	EOL_V2:2942031 | FBC:SLB:SpecCode:87158 | GBIF:4597281 | INAT_TAXON:49121 | IRMNG:10805886 | IRMNG:11805661 | WD:Q3391089 | WORMS:451657 | doi:10.3897/zookeys.197.1728 | doi:10.3897/zookeys.969.52941 | http://taxon-concept.plazi.org/id/Animalia/Plakobranchus_ocellatus_Hasselt_1824 | http://taxon-concept.plazi.org/id/Animalia/Plakobranchus_ocellatus_Hasselt_1924 | http://treatment.plazi.org/id/10CF483BABE8EBECC54F7A4734B48431 | http://treatment.plazi.org/id/A42C12264E2E5FDDB55B973081B12A79	Plakobranchus ocellatus	species	Plakobranchus ocellatus	Mollusca	Animalia
     36 GBIF:2256312 | GBIF:3084079 | GBIF:8192236 | IRMNG:1373355 | IRMNG:1373356 | ITIS:19877 | ITIS:204189 | NCBI:153845 | NCBI:396343 | WD:Q5064220 | WD:Q5317148 | WORMS:100774	Cereus	genus		Cnidaria	Animalia	visitsFlowersOf	GBIF:1341976 | INAT_TAXON:47219 | IRMNG:11307057 | ITIS:154396 | NCBI:7460 | WORMS:1490237 | http://taxon-concept.plazi.org/id/Animalia/Apis_mellifera_Linnaeus_1758 | http://treatment.plazi.org/id/0392879B7353AB0043D5F930FDC4FEDB | http://treatment.plazi.org/id/039A87C5FFBB5B6B4E87C951C84027C6 | http://treatment.plazi.org/id/05A46C7F94FE5EC99656C7D8040B79B1 | http://treatment.plazi.org/id/082D647765F58E3E4C7CB9CDFD9CCAF5 | http://treatment.plazi.org/id/132673198DAD2D3D91C43F5F39F689F5 | http://treatment.plazi.org/id/4E4236DBCC11B6C4DD1A9CF7E7FBAEAC | http://treatment.plazi.org/id/80361C2EEA1DE4A2428B918B9AA0E02A | http://treatment.plazi.org/id/81A304DDB952574A8060AB1624AA6559 | http://treatment.plazi.org/id/865F8797FFEA8D28FF09FF0EED02D243 | http://treatment.plazi.org/id/AD05F484EB865DF2A3E9035AD77BECE4 | http://treatment.plazi.org/id/CA2E8168D9A224164CD57ADFC0B80B0C | http://treatment.plazi.org/id/D99C3063405AE6A23409846A31F19F9A | http://treatment.plazi.org/id/F75187E14F22FFE8F0CAF8EEFC2D691F | https://www.discoverlife.org/mp/20q?search=Apis+mellifera	Apis mellifera	species	Apis mellifera	Arthropoda	Animalia
     36 GBIF:11417741 | INAT_TAXON:520456 | NCBI:2664423 | NCBI:2680557	Bat MERS-like coronavirus		Middle East respiratory syndrome-related coronavirus	Pisuviricota	Orthornavirae	visitsFlowersOf	GBIF:11417741 | INAT_TAXON:520456 | NCBI:2664423 | NCBI:2680557	Bat MERS-like coronavirus		Middle East respiratory syndrome-related coronavirus	Pisuviricota	Orthornavirae
     35 COL:68TV2 | COL:P27T | EOL_V2:61417 | GBIF:3191347 | GBIF:3191361 | GBIF:7608514 | GBIF:8158742 | GBIF:8959379 | INAT_TAXON:154528 | IRMNG:1045761 | IRMNG:11433778 | ITIS:29262 | ITIS:29263 | NCBI:4270 | WD:Q2046782 | WD:Q3279490 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Byrsonima_crassifolia_Linnaeus_1753 | http://treatment.plazi.org/id/C5EE3B470773A5076DB7C34774D631F7	Byrsonima crassifolia	species	Byrsonima crassifolia	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0072	BOLD:AAA0072			Arthropoda	
     34 INAT_TAXON:1085661 | NCBI:1588378	Phytoecia caerulescens	species	Phytoecia caerulescens	Arthropoda	Animalia	eats	EOL:579910 | GBIF:2925892 | INAT_TAXON:56174 | IRMNG:10198317 | ITIS:31899 | NCBI:34253 | WD:Q157722 | doi:10.5281/zenodo.291971 | doi:10.5962/bhl.title.669 | http://taxon-concept.plazi.org/id/Plantae/Echium_vulgare_Linnaeus_1753 | http://treatment.plazi.org/id/83EB078CD964CAE6B8893D327DAA8270 | http://treatment.plazi.org/id/E6D8D6AD986FE41409900BC1718C1B60	Echium vulgare	species	Echium vulgare	Tracheophyta	Plantae
     34 EOL_V2:1049010 | GBIF:2481930 | INAT_TAXON:4756 | IRMNG:10190696 | ITIS:175265 | NCBI:43455 | WD:Q245181 | WORMS:159144 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Cathartes_aura_Linnaeus_1758 | http://treatment.plazi.org/id/03D587C4FA5F7654FDEBFA4E169D5841 | http://treatment.plazi.org/id/797DD9967BDA261E8EF4119BC14A7D16 | http://treatment.plazi.org/id/9278B873FFF4FFB0DE1121BFFE141650	Cathartes aura	species	Cathartes aura	Chordata	Animalia	visitsFlowersOf	https://www.inaturalist.org/taxa/48460	Life				
     34 EOL:1065138 | GBIF:1340350 | INAT_TAXON:118970 | IRMNG:1235802 | ITIS:714812 | NCBI:132113 | WD:Q2367709 | doi:10.11646/zootaxa.4352.1.1 | doi:10.3897/BDJ.3.e6313 | doi:10.3897/BDJ.6.e24071 | doi:10.3897/BDJ.7.e30953 | http://taxon-concept.plazi.org/id/Animalia/Bombus_impatiens_Cresson_1863 | http://treatment.plazi.org/id/0392879B735FAB0D43D5FCCEFC80FB7D | http://treatment.plazi.org/id/2D62309D99742DFF5348A966FC62E295 | http://treatment.plazi.org/id/368F2BCF9BFE484EBD46CE2FA36CD09E | http://treatment.plazi.org/id/6FB7EFDADCA50B2DC128A6A69D551D81 | http://treatment.plazi.org/id/789E991BAABCFD603BDD0FA07013DB1D | https://www.discoverlife.org/mp/20q?search=Bombus+impatiens	Bombus impatiens	species	Bombus impatiens	Arthropoda	Animalia	visitsFlowersOf	EOL:392600 | GBIF:3151755 | INAT_TAXON:142279 | IRMNG:11182028 | ITIS:522234 | ITIS:566340 | WD:Q743808 | WORMS:1096095	Symphyotrichum pilosum	species	Symphyotrichum pilosum	Tracheophyta	Archaeplastida
     33 GBIF:2650523 | GBIF:3139473 | GBIF:3268474 | IRMNG:1311887 | IRMNG:1311888 | IRMNG:1352900 | ITIS:1059317 | WORMS:1076747 | WORMS:345075	Lepisorus	genus		Tracheophyta	Plantae	hasHost	ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:6e952804-1b8d-43cf-b55f-c9c9d6b0da77 | EOL_V2:1049263 | GBIF:5227769 | GBIF:9326020 | INAT_TAXON:882 | IRMNG:11181863 | ITIS:176086 | NCBI:9031 | WD:Q184774 | WORMS:1463738	Gallus gallus	species	Gallus gallus	Chordata	Animalia
     33 ALATaxon:https://id.biodiversity.org.au/node/apni/2908971 | COL:VJYC | EOL:594912 | GBIF:3033937 | IRMNG:11434460 | ITIS:18860 | NCBI:108409 | WD:Q3291604 | doi:10.5281/zenodo.291971 | http://taxon-concept.plazi.org/id/Plantae/Cissampelos_pareira_Linnaeus_1753 | http://treatment.plazi.org/id/08B8282D7BCB855B89766E17DD85C722 | http://treatment.plazi.org/id/D493AE6006FFAA3781304DA1D3B1CA17	Cissampelos pareira	species	Cissampelos pareira	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0236	BOLD:AAA0236			Arthropoda	
     32 COL:5YQL7 | GBIF:2885667 | IRMNG:10431170 | NCBI:1125366	Chrysophyllum brenesii	species	Chrysophyllum brenesii	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0211	BOLD:AAA0211			Arthropoda	
     31 GBIF:2985082 | GBIF:8241761 | INAT_TAXON:160544 | IRMNG:1068330 | IRMNG:10855998 | ITIS:25147 | ITIS:25148 | NCBI:22978 | WD:Q2719919 | WORMS:415202 | WORMS:418706	Chrysobalanus icaco	species	Chrysobalanus icaco	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0139	BOLD:AAA0139			Arthropoda	
     30 GBIF:2437282 | GBIF:4263531 | INAT_TAXON:46260 | IRMNG:10201459 | ITIS:180166 | WD:Q326976 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Tamiasciurus_hudsonicus_Erxleben_1777 | http://treatment.plazi.org/id/CDA311D2646F7037BD55EFB75ACE1A1D	Tamiasciurus hudsonicus	species	Tamiasciurus hudsonicus	Chordata	Animalia	visitsFlowersOf	https://www.inaturalist.org/taxa/48460	Life				
     30 EOL:131355 | GBIF:1937816 | INAT_TAXON:58523 | IRMNG:10000966 | IRMNG:11237498 | ITIS:188543 | NCBI:7146 | WD:Q134744 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Papilio_polyxenes_Fabricius_1775 | http://treatment.plazi.org/id/207065445C4A161860DFDF30DAE23902	Papilio polyxenes	species	Papilio polyxenes	Arthropoda	Animalia	eats	NCBI:2054611	Rodent Torque teno virus 4	species	Rodent Torque teno virus 4		
     30 EOL:1065358 | GBIF:1340409 | INAT_TAXON:120215 | ITIS:714807 | NCBI:207634 | WD:Q2163571 | doi:10.11646/zootaxa.4352.1.1 | doi:10.3897/BDJ.3.e6313 | doi:10.3897/BDJ.6.e24071 | doi:10.3897/BDJ.6.e27161 | http://taxon-concept.plazi.org/id/Animalia/Bombus_griseocollis_DeGeer_1773 | http://taxon-concept.plazi.org/id/Animalia/Bombus_griseocollis_Geer_1773 | http://treatment.plazi.org/id/0392879B735DAB0F43D5FC7CFD6CFA9C | http://treatment.plazi.org/id/0DB43C4BE7BD78A5C3B962E09B3250CF | http://treatment.plazi.org/id/868B867E244F62745509039D2090B004 | http://treatment.plazi.org/id/DAA0BF6902DD239952223DB18FEFE71C | http://treatment.plazi.org/id/E8436A096F6B5A6E3FA5765483434A3D | https://www.discoverlife.org/mp/20q?search=Bombus+griseocollis	Bombus griseocollis	species	Bombus griseocollis	Arthropoda	Animalia	visitsFlowersOf	EOL:509712 | GBIF:3087184 | INAT_TAXON:85331 | IRMNG:10206311 | ITIS:38343 | WD:Q7295700 | WORMS:1097416 | WORMS:1135384 | WORMS:1137459	Ratibida pinnata	species	Ratibida pinnata	Tracheophyta	Archaeplastida
     30 COL:L3WJ | GBIF:2953048 | IRMNG:10179290 | NCBI:1123540	Bauhinia cookii	species	Bauhinia cookii	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0114	BOLD:AAA0114			Arthropoda	
     29 GBIF:7649215 | INAT_TAXON:209896 | IRMNG:10200717 | ITIS:31751 | NCBI:246517 | WD:Q3303753	Cordia alliodora	species	Cordia alliodora	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB3816	BOLD:AAB3816			Arthropoda	
     29 GBIF:2967060 | INAT_TAXON:116694 | IRMNG:10166413 | IRMNG:10167953 | ITIS:25804	Desmodium incanum	species	Desmodium incanum	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0094	BOLD:AAA0094			Arthropoda	
     29 EOL_V2:1178539 | GBIF:2487805 | INAT_TAXON:144815 | IRMNG:10217349 | ITIS:554382 | NCBI:48891 | WD:Q282687 | doi:10.3897/BDJ.3.e6313 | http://taxon-concept.plazi.org/id/Animalia/Poecile_atricapillus_Linnaeus_1766 | http://treatment.plazi.org/id/42293B3645A80B3B716D07EAC798D814	Poecile atricapillus	species	Poecile atricapillus	Chordata	Animalia	visitsFlowersOf	https://www.inaturalist.org/taxa/48460	Life				
     29 COL:GCX5 | GBIF:5558881 | NCBI:681411	Ardisia copeyana	species	Ardisia copeyana	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0204	BOLD:AAA0204			Arthropoda	
     29 COL:5YMC5 | EOL:5710827 | GBIF:5555745 | GBIF:9213580 | NCBI:156487 | WD:Q5767804	Chrysochlamys glauca	species	Chrysochlamys glauca	Tracheophyta	Plantae	parasiteOf	http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3619	BOLD:AAA3619			Arthropoda	
