"","sourceSpeciesName","sourcePhylum","sourceKingdom","interactionType","targetSpeciesName","targetPhylum","targetKingdom"
"21160","Phomopsis quercicola","Ascomycota","Fungi","hasHost","Quercus robur","Tracheophyta","Plantae"
"21161","Phomopsis nephelii","Ascomycota","Fungi","hasHost","Litchi chinensis","Tracheophyta","Plantae"
"21162","Phomopsis petiolorum","Ascomycota","Fungi","eats","Robinia pseudoacacia","Tracheophyta","Plantae"
"21163","Phomopsis scobina","Ascomycota","Fungi","interactsWith","Fraxinus excelsior","Tracheophyta","Plantae"
"21164","Phomopsis helianthi","Ascomycota","Fungi","hasHost","Fraxinus excelsior","Tracheophyta","Plantae"
"21165","Phomopsis piceae","Ascomycota","Fungi","hasHost","Reynoutria japonica","Tracheophyta","Plantae"
"21166","Diplodina acerina","Ascomycota","Fungi","hasHost","Acer platanoides","Tracheophyta","Plantae"
"21167","Diplodina castaneae","Ascomycota","Fungi","interactsWith","Castanea sativa","Tracheophyta","Plantae"
"21168","Diplodina castaneae","Ascomycota","Fungi","eats","Castanea sativa","Tracheophyta","Plantae"
"21169","Gnomonia graphis","Ascomycota","Fungi","hasHost","Rubus fruticosus","Tracheophyta","Plantae"
"21170","Gnomonia pruni","Ascomycota","Fungi","hasHost","Prunus domestica","Charophyta","Plantae"
"21171","Plagiostoma campylostyla","Ascomycota","Fungi","hasHost","Betula pendula","Tracheophyta","Plantae"
"21172","Pleuroceras pleurostylum","Ascomycota","Fungi","hasHost","Salix alba","Tracheophyta","Plantae"
"21173","Pleuroceras pseudoplatani","Ascomycota","Fungi","parasiteOf","Acer pseudoplatanus","Tracheophyta","Plantae"
"21174","Pleuroceras pseudoplatani","Ascomycota","Fungi","interactsWith","Acer pseudoplatanus","Tracheophyta","Plantae"
"21175","Pleuroceras pseudoplatani","Ascomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21176","Plagiostoma inclinatum","Ascomycota","Fungi","eats","Acer pseudoplatanus","Tracheophyta","Plantae"
"21177","Leucostoma persoonii","Ascomycota","Fungi","pathogenOf","Pyrus communis","Tracheophyta","Plantae"
