"x"
"Psittacula eupatria"
"Lycia hirtaria"
"Neptis sappho"
"Nymphalis antiopa"
"Nymphalis xanthomelas"
"Endotricha flammealis"
"Arctia villica"
"Conops quadrifasciatus"
"Helophilus pendulus"
"Gomphus vulgatissimus"
"Notodonta ziczac"
"Eriogaster lanestris"
"Oxycarenus lavaterae"
"Arma custos"
"Dolycoris baccarum"
"Carpocoris purpureipennis"
"Ancyrosoma leucogrammes"
"Plagiosterna aenea"
"Chrysomela vigintipunctata"
"Psyllobora vigintiduopunctata"
"Malachius bipustulatus"
"Castor fiber"
"Corizus hyoscyami"
"Syromastus rhombeus"
"Coreus marginatus"
"Monotropa hypopitys"
"Rumex acetosa"
"Cephalanthera rubra"
"Juniperus communis"
"Phegopteris connectilis"
"Gymnocarpium dryopteris"
"Physcia tenella"
"Ramalina farinacea"
"Lecidella elaeochroma"
"Flavoparmelia caperata"
"Anas platyrhynchos"
"Serinus serinus"
"Phylloscopus collybita"
"Curruca melanocephala"
"Picus viridis"
"Dendrocoptes medius"
"Dendrocopos medius"
"Dolichophis caspius"
"Apodemus sylvaticus"
"Felis catus"
"Miniopterus schreibersii"
"Acrosternum heegeri"
"Rhopalus subrufus"
"Ceraleptus gracilicornis"
"Cercopis intermedia"
"Aphrophora alni"
"Reduvius personatus"
"Ectropis bistortata"
"Campaea margaritaria"
"Biston betularia"
"Watsonalla binaria"
"Iphiclides podalirius"
"Gonepteryx rhamni"
"Pieris brassicae"
"Anthocharis cardamines"
"Aglais urticae"
"Ptilodon capucina"
"Pseudoips prasinana"
"Lasiocampa quercus"
"Calliptamus barbarus"
"Dasysyrphus albostriatus"
"Dasysyrphus pinastri"
"Sericomyia superbiens"
"Lejops lineatus"
"Syrphus torvus"
"Chrysogaster aerosa"
"Pipiza austriaca"
"Sphegina elegans"
"Calopteryx virgo"
"Bombus hortorum"
"Bombus terrestris"
"Amblyteles armatorius"
"Valgus hemipterus"
"Asio flammeus"
"Asio otus"
"Streptopelia decaocto"
"Milvus milvus"
"Cheilosia albitarsis"
"Strix aluco"
"Otus scops"
"Corvus monedula"
"Sylvia curruca"
"Luscinia megarhynchos"
"Lanius collurio"
"Carduelis chloris"
"Carduelis cannabina"
"Columba livia"
"Gallinula chloropus"
"Inachis io"
"Falco cherrug"
"Falco columbarius"
"Falco peregrinus"
"Milvus migrans"
"Haliaeetus albicilla"
"Accipiter nisus"
"Hepialus humuli"
"Eristalinus sepulchralis"
"Platycheirus rosarum"
"Leucozona lucorum"
"Meliscaeva cinctella"
"Cheilosia pagana"
"Helophilus hybridus"
"Lejogaster metallina"
"Chrysogaster solstitialis"
"Cheilosia impressa"
"Cheilosia variabilis"
"Cheilosia vernalis"
"Eriozona syrphoides"
"Leucozona glaucia"
"Melangyna cincta"
"Sphegina clunipes"
"Neoascia podagrica"
"Volucella inflata"
"Xylota sylvarum"
"Sericomyia lappona"
"Chrysotoxum arcuatum"
"Hygrocybe conica"
"Calliteara pudibunda"
"Scoliopteryx libatrix"
"Tyta luctuosa"
"Acronicta leporina"
"Plagodis dolabraria"
"Saturnia pyri"
"Ascotis selenaria"
"Colotois pennaria"
"Hydriomena impluviata"
"Andrena flavipes"
"Quercusia quercus"
"Pieris napi"
"Cyathus striatus"
"Cynthia cardui"
"Ganoderma resinaceum"
"Hypnum cupressiforme"
"Athene noctua"
"Rhytidiadelphus triquetrus"
