"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"9440",2986129,"Ribes spicatum E.Robson","Ribes spicatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Ribes spicatum",6,2986129,"Ribes spicatum","Plantae"
"9441",2986101,"Ribes malvaceum Sm.","Ribes malvaceum","SPECIES","ACCEPTED",100,"EXACT","Plantae","Ribes malvaceum",6,2986101,"Ribes malvaceum","Plantae"
"9442",2982181,"Calliandra eriophylla Benth.","Calliandra eriophylla","SPECIES","ACCEPTED",100,"EXACT","Plantae","Calliandra eriophylla",6,2982181,"Calliandra eriophylla","Plantae"
"9443",5357476,"Millettia pinnata (L.) Panigrahi","Millettia pinnata","SPECIES","SYNONYM",100,"EXACT","Plantae","Pongamia pinnata",6,2965911,"Millettia pinnata","Plantae"
"9444",2964150,"Lupinus bogotensis Benth.","Lupinus bogotensis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Lupinus bogotensis",6,2964150,"Lupinus bogotensis","Plantae"
"9445",2928741,"Datura wrightii Regel","Datura wrightii","SPECIES","ACCEPTED",100,"EXACT","Plantae","Datura wrightii",6,2928741,"Datura wrightii","Plantae"
"9446",2927490,"Cuscuta pentagona Engelm.","Cuscuta pentagona","SPECIES","ACCEPTED",100,"EXACT","Plantae","Cuscuta pentagona",6,2927490,"Cuscuta pentagona","Plantae"
"9447",2927190,"Mentha suaveolens Ehrh.","Mentha suaveolens","SPECIES","ACCEPTED",99,"EXACT","Plantae","Mentha suaveolens",6,2927190,"Mentha suaveolens","Plantae"
"9448",2927175,"Mentha spicata L.","Mentha spicata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Mentha spicata",6,2927175,"Mentha spicata","Plantae"
"9449",2926682,"Lamium purpureum L.","Lamium purpureum","SPECIES","ACCEPTED",100,"EXACT","Plantae","Lamium purpureum",6,2926682,"Lamium purpureum","Plantae"
"9450",2926634,"Rosmarinus officinalis L.","Rosmarinus officinalis","SPECIES","SYNONYM",100,"EXACT","Plantae","Salvia rosmarinus",6,10902460,"Rosmarinus officinalis","Plantae"
"9451",2926557,"Glechoma hederacea L.","Glechoma hederacea","SPECIES","ACCEPTED",100,"EXACT","Plantae","Glechoma hederacea",6,2926557,"Glechoma hederacea","Plantae"
