"","X","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","species","kingdomKey","speciesKey","species_name_network","king_network"
"510",9192,11074143,"Candelariella aurella (Hoffm.) Zahlbr.","Candelariella aurella","SPECIES","ACCEPTED",100,"EXACT","Fungi","Candelariella aurella",5,11074143,"Candelariella aurella","Fungi"
"511",9346,3191030,"Drosera rotundifolia L.","Drosera rotundifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Drosera rotundifolia",6,3191030,"Drosera rotundifolia","Plantae"
"512",9354,3172049,"Veronica officinalis L.","Veronica officinalis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Veronica officinalis",6,3172049,"Veronica officinalis","Plantae"
"513",9359,3169707,"Vinca minor L.","Vinca minor","SPECIES","ACCEPTED",99,"EXACT","Plantae","Vinca minor",6,3169707,"Vinca minor","Plantae"
"514",9366,3152374,"Malva sylvestris L.","Malva sylvestris","SPECIES","ACCEPTED",100,"EXACT","Plantae","Malva sylvestris",6,3152374,"Malva sylvestris","Plantae"
"515",9381,3113414,"Cirsium arvense (L.) Scop.","Cirsium arvense","SPECIES","ACCEPTED",100,"EXACT","Plantae","Cirsium arvense",6,3113414,"Cirsium arvense","Plantae"
"516",9386,8228544,"Sonchus oleraceus L.","Sonchus oleraceus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Sonchus oleraceus",6,8228544,"Sonchus oleraceus","Plantae"
"517",9395,3082234,"Cornus sanguinea L.","Cornus sanguinea","SPECIES","ACCEPTED",99,"EXACT","Plantae","Cornus sanguinea",6,3082234,"Cornus sanguinea","Plantae"
"518",9418,3033263,"Anemone nemorosa L.","Anemone nemorosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Anemone nemorosa",6,3033263,"Anemone nemorosa","Plantae"
"519",9439,2987999,"Filipendula ulmaria (L.) Maxim.","Filipendula ulmaria","SPECIES","ACCEPTED",99,"EXACT","Plantae","Filipendula ulmaria",6,2987999,"Filipendula ulmaria","Plantae"
"520",9451,2926557,"Glechoma hederacea L.","Glechoma hederacea","SPECIES","ACCEPTED",100,"EXACT","Plantae","Glechoma hederacea",6,2926557,"Glechoma hederacea","Plantae"
"521",9453,2925529,"Verbena officinalis L.","Verbena officinalis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Verbena officinalis",6,2925529,"Verbena officinalis","Plantae"
"522",9467,2889828,"Viscum album L.","Viscum album","SPECIES","ACCEPTED",99,"EXACT","Plantae","Viscum album",6,2889828,"Viscum album","Viridiplantae"
"523",9469,2888951,"Rumex acetosa L.","Rumex acetosa","SPECIES","ACCEPTED",100,"EXACT","Plantae","Rumex acetosa",6,2888951,"Rumex acetosa","Plantae"
"524",9471,2888811,"Succisa pratensis Moench","Succisa pratensis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Succisa pratensis",6,2888811,"Succisa pratensis","Plantae"
"525",9472,2888806,"Scabiosa ochroleuca L.","Scabiosa ochroleuca","SPECIES","ACCEPTED",99,"EXACT","Plantae","Scabiosa ochroleuca",6,2888806,"Scabiosa ochroleuca","Plantae"
"526",9477,2882835,"Vaccinium vitis-idaea L.","Vaccinium vitis-idaea","SPECIES","ACCEPTED",100,"EXACT","Plantae","Vaccinium vitis-idaea",6,2882835,"Vaccinium vitis-idaea","Plantae"
"527",9478,2882833,"Vaccinium myrtillus L.","Vaccinium myrtillus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Vaccinium myrtillus",6,2882833,"Vaccinium myrtillus","Plantae"
"528",9487,2878688,"Quercus robur L.","Quercus robur","SPECIES","ACCEPTED",99,"EXACT","Plantae","Quercus robur",6,2878688,"Quercus robur","Plantae"
"529",9499,2875979,"Corylus avellana L.","Corylus avellana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Corylus avellana",6,2875979,"Corylus avellana","Plantae"
"530",9509,2797913,"Platanthera chlorantha (Custer) Rchb.","Platanthera chlorantha","SPECIES","ACCEPTED",100,"EXACT","Plantae","Platanthera chlorantha",6,2797913,"Platanthera chlorantha","Plantae"
"531",9510,2795845,"Cephalanthera rubra (L.) Rich.","Cephalanthera rubra","SPECIES","ACCEPTED",100,"EXACT","Plantae","Cephalanthera rubra",6,2795845,"Cephalanthera rubra","Plantae"
"532",9545,2705975,"Anthoxanthum odoratum L.","Anthoxanthum odoratum","SPECIES","ACCEPTED",100,"EXACT","Plantae","Anthoxanthum odoratum",6,2705975,"Anthoxanthum odoratum","Plantae"
"533",9550,2704394,"Cynosurus echinatus L.","Cynosurus echinatus","SPECIES","ACCEPTED",100,"EXACT","Plantae","Cynosurus echinatus",6,2704394,"Cynosurus echinatus","Plantae"
"534",9577,2684709,"Juniperus communis L.","Juniperus communis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Juniperus communis",6,2684709,"Juniperus communis","Plantae"
"535",9580,2681972,"Hypnum cupressiforme Hedw.","Hypnum cupressiforme","SPECIES","ACCEPTED",100,"EXACT","Plantae","Hypnum cupressiforme",6,2681972,"Hypnum cupressiforme","Plantae"
"536",9641,2651330,"Phegopteris connectilis (Michx.) Watt","Phegopteris connectilis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Phegopteris connectilis",6,2651330,"Phegopteris connectilis","Plantae"
"537",9642,2651330,"Phegopteris connectilis (Michx.) Watt","Phegopteris connectilis","SPECIES","ACCEPTED",100,"EXACT","Plantae","Phegopteris connectilis",6,2651330,"Phegopteris connectilis","Plantae"
"538",9643,2650832,"Gymnocarpium dryopteris (L.) Newman","Gymnocarpium dryopteris","SPECIES","ACCEPTED",99,"EXACT","Plantae","Gymnocarpium dryopteris",6,2650832,"Gymnocarpium dryopteris","Plantae"
"539",9645,2650165,"Botrychium lunaria (L.) Sw.","Botrychium lunaria","SPECIES","ACCEPTED",100,"EXACT","Plantae","Botrychium lunaria",6,2650165,"Botrychium lunaria","Plantae"
"540",9868,2608167,"Ramalina farinacea (L.) Ach.","Ramalina farinacea","SPECIES","ACCEPTED",100,"EXACT","Fungi","Ramalina farinacea",5,2608167,"Ramalina farinacea","Fungi"
"541",9945,2605831,"Vulpicida pinastri (Scop.) J.-E.Mattsson & M.J.Lai","Vulpicida pinastri","SPECIES","ACCEPTED",100,"EXACT","Fungi","Vulpicida pinastri",5,2605831,"Vulpicida pinastri","Fungi"
"542",10483,2550493,"Artomyces pyxidatus (Pers.) Jülich","Artomyces pyxidatus","SPECIES","ACCEPTED",100,"EXACT","Fungi","Artomyces pyxidatus",5,2550493,"Artomyces pyxidatus","Fungi"
"543",10492,2549683,"Ganoderma resinaceum Boud.","Ganoderma resinaceum","SPECIES","ACCEPTED",99,"EXACT","Fungi","Ganoderma resinaceum",5,2549683,"Ganoderma resinaceum","Fungi"
"544",10715,9761484,"Anas platyrhynchos Linnaeus, 1758","Anas platyrhynchos","SPECIES","ACCEPTED",100,"EXACT","Animalia","Anas platyrhynchos",1,9761484,"Anas platyrhynchos","Animalia"
"545",10716,2498017,"Anser albifrons (Scopoli, 1769)","Anser albifrons","SPECIES","ACCEPTED",100,"EXACT","Animalia","Anser albifrons",1,2498017,"Anser albifrons","Animalia"
"546",10724,2494200,"Serinus serinus (Linnaeus, 1766)","Serinus serinus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Serinus serinus",1,2494200,"Serinus serinus","Animalia"
"547",10732,9990095,"Curruca melanocephala (J.F.Gmelin, 1789)","Curruca melanocephala","SPECIES","ACCEPTED",100,"EXACT","Animalia","Curruca melanocephala",1,9990095,"Curruca melanocephala","Animalia"
"548",10735,2492542,"Luscinia luscinia (Linnaeus, 1758)","Luscinia luscinia","SPECIES","ACCEPTED",100,"EXACT","Animalia","Luscinia luscinia",1,2492542,"Luscinia luscinia","Animalia"
"549",10777,2487603,"Certhia familiaris Linnaeus, 1758","Certhia familiaris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Certhia familiaris",1,2487603,"Certhia familiaris","Animalia"
"550",10805,2480685,"Hieraaetus pennatus (Gmelin, 1788)","Hieraaetus pennatus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Hieraaetus pennatus",1,2480685,"Hieraaetus pennatus","Animalia"
"551",10806,2480637,"Accipiter nisus (Linnaeus, 1758)","Accipiter nisus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Accipiter nisus",1,2480637,"Accipiter nisus","Animalia"
"552",10830,2478031,"Dendrocopos syriacus (Hemprich & Ehrenberg, 1833)","Dendrocopos syriacus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Dendrocopos syriacus",1,2478031,"Dendrocopos syriacus","Animalia"
"553",10831,8773033,"Dendrocoptes medius (Linnaeus, 1758)","Dendrocoptes medius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Dendrocoptes medius",1,8773033,"Dendrocoptes medius","Animalia"
"554",10849,2458538,"Zamenis longissimus (Laurenti, 1768)","Zamenis longissimus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Zamenis longissimus",1,2458538,"Zamenis longissimus","Animalia"
"555",10862,2437760,"Apodemus sylvaticus (Linnaeus, 1758)","Apodemus sylvaticus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Apodemus sylvaticus",1,2437760,"Apodemus sylvaticus","Animalia"
"556",10880,2432614,"Rhinolophus hipposideros (Bechstein, 1800)","Rhinolophus hipposideros","SPECIES","ACCEPTED",99,"EXACT","Animalia","Rhinolophus hipposideros",1,2432614,"Rhinolophus hipposideros","Animalia"
"557",10881,2432582,"Barbastella barbastellus (Schreber, 1774)","Barbastella barbastellus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Barbastella barbastellus",1,2432582,"Barbastella barbastellus","Animalia"
"558",10882,9796816,"Miniopterus schreibersii (Kuhl, 1817)","Miniopterus schreibersii","SPECIES","ACCEPTED",99,"EXACT","Animalia","Miniopterus schreibersii",1,9796816,"Miniopterus schreibersii","Animalia"
"559",10885,2432427,"Myotis bechsteinii (Kuhl, 1817)","Myotis bechsteinii","SPECIES","ACCEPTED",99,"EXACT","Animalia","Myotis bechsteinii",1,2432427,"Myotis bechsteinii","Animalia"
"560",10985,2079176,"Acrosternum heegeri Fieber, 1861","Acrosternum heegeri","SPECIES","ACCEPTED",100,"EXACT","Animalia","Acrosternum heegeri",1,2079176,"Acrosternum heegeri","Animalia"
"561",11014,2068870,"Metcalfa pruinosa (Say, 1830)","Metcalfa pruinosa","SPECIES","ACCEPTED",100,"EXACT","Animalia","Metcalfa pruinosa",1,2068870,"Metcalfa pruinosa","Animalia"
"562",11018,2050239,"Rhopalus subrufus (Gmelin, 1790)","Rhopalus subrufus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Rhopalus subrufus",1,2050239,"Rhopalus subrufus","Animalia"
"563",11020,2050012,"Ceraleptus gracilicornis (Herrich-Schäffer, 1835)","Ceraleptus gracilicornis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Ceraleptus gracilicornis",1,2050012,"Ceraleptus gracilicornis","Animalia"
"564",11054,2019168,"Cercopis intermedia Kirschbaum, 1868","Cercopis intermedia","SPECIES","ACCEPTED",99,"EXACT","Animalia","Cercopis intermedia",1,2019168,"Cercopis intermedia","Animalia"
"565",11055,2016266,"Aphrophora alni (Fallén, 1805)","Aphrophora alni","SPECIES","ACCEPTED",100,"EXACT","Animalia","Aphrophora alni",1,2016266,"Aphrophora alni","Animalia"
"566",11082,2008516,"Reduvius personatus (Linnaeus, 1758)","Reduvius personatus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Reduvius personatus",1,2008516,"Reduvius personatus","Animalia"
"567",11086,1998104,"Ectobius lapponicus (Linnaeus, 1758)","Ectobius lapponicus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Ectobius lapponicus",1,1998104,"Ectobius lapponicus","Animalia"
"568",11093,7612599,"Ectropis bistortata Rebel","Ectropis bistortata","SPECIES","SYNONYM",100,"EXACT","Animalia","Ectropis crepuscularia",1,8421569,"Ectropis bistortata","Animalia"
"569",11094,1978776,"Campaea margaritaria (Linnaeus, 1761)","Campaea margaritaria","SPECIES","ACCEPTED",100,"EXACT","Animalia","Campaea margaritaria",1,1978776,"Campaea margaritaria","Animalia"
"570",11095,1978754,"Campaea margaritata (Linnaeus, 1767)","Campaea margaritata","SPECIES","SYNONYM",100,"EXACT","Animalia","Campaea margaritaria",1,1978776,"Campaea margaritata","Animalia"
"571",11102,1966017,"Timandra comae Schmidt, 1931","Timandra comae","SPECIES","ACCEPTED",100,"EXACT","Animalia","Timandra comae",1,1966017,"Timandra comae","Animalia"
"572",11105,1963446,"Chloroclysta siterata (Hufnagel, 1767)","Chloroclysta siterata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chloroclysta siterata",1,1963446,"Chloroclysta siterata","Animalia"
"573",11114,1952806,"Watsonalla binaria (Hufnagel, 1769)","Watsonalla binaria","SPECIES","ACCEPTED",100,"EXACT","Animalia","Watsonalla binaria",1,1952806,"Watsonalla binaria","Animalia"
"574",11127,1947335,"Carterocephalus palaemon (Pallas, 1771)","Carterocephalus palaemon","SPECIES","ACCEPTED",100,"EXACT","Animalia","Carterocephalus palaemon",1,1947335,"Carterocephalus palaemon","Animalia"
"575",11134,1945569,"Spialia sertorius (Hoffmannsegg, 1804)","Spialia sertorius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Spialia sertorius",1,1945569,"Spialia sertorius","Animalia"
"576",11138,8273661,"Thymelicus sylvestris (Poda, 1761)","Thymelicus sylvestris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Thymelicus sylvestris",1,8273661,"Thymelicus sylvestris","Animalia"
"577",11142,12352224,"Synanthedon typhiaeformis (Borkhausen, 1789)","Synanthedon typhiaeformis","SPECIES","SYNONYM",100,"EXACT","Animalia","Synanthedon myopaeformis",1,4525777,"Synanthedon typhiaeformis","Animalia"
"578",11167,1929697,"Lycaena phlaeas (Linnaeus, 1761)","Lycaena phlaeas","SPECIES","ACCEPTED",99,"EXACT","Animalia","Lycaena phlaeas",1,1929697,"Lycaena phlaeas","Animalia"
"579",11177,1920712,"Gonepteryx rhamni (Linnaeus, 1758)","Gonepteryx rhamni","SPECIES","ACCEPTED",100,"EXACT","Animalia","Gonepteryx rhamni",1,1920712,"Gonepteryx rhamni","Animalia"
"580",11187,1919712,"Anthocharis cardamines (Linnaeus, 1758)","Anthocharis cardamines","SPECIES","ACCEPTED",100,"EXACT","Animalia","Anthocharis cardamines",1,1919712,"Anthocharis cardamines","Animalia"
"581",11211,1894840,"Aglais urticae (Linnaeus, 1758)","Aglais urticae","SPECIES","ACCEPTED",100,"EXACT","Animalia","Aglais urticae",1,1894840,"Aglais urticae","Animalia"
"582",11267,1828162,"Ptilodon capucina (Linnaeus, 1758)","Ptilodon capucina","SPECIES","ACCEPTED",99,"EXACT","Animalia","Ptilodon capucina",1,1828162,"Ptilodon capucina","Animalia"
"583",11268,1825077,"Notodonta dromedarius (Linnaeus, 1767)","Notodonta dromedarius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Notodonta dromedarius",1,1825077,"Notodonta dromedarius","Animalia"
